항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-1,602",463,198,"1,030",185,,-82, 
  당기순이익(지배)＜당기＞,-102.0,32.1,14.4,81.9,15.5,, , 
  보통주수정평균발행주식수＜당기＞,"6,321,528","6,921,458","7,299,384","7,950,296","8,385,722","8,477,777", , 
  우선주수정평균발행주식수＜당기＞,"43,601",0,0,0,0,0, , 
펼치기 BPS,"5,764","6,191","6,319","7,128","7,257",,2, 
  자본총계(지배)＜당기＞,381.9,424.2,458.9,570.4,580.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,625,485","6,852,324","7,261,901","8,002,098","8,002,098","8,027,813", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-856,425,540,"2,694","-1,116",,-141, 
  영업활동현금흐름＜당기＞,-54.5,29.4,39.4,214.2,-93.6,, , 
  보통주수정평균발행주식수＜당기＞,"6,321,528","6,921,458","7,299,384","7,950,296","8,385,722","8,477,777", , 
  우선주수정평균발행주식수＜당기＞,"43,601",0,0,0,0,0, , 
펼치기 SPS,"10,906","6,697","4,671","11,561","7,881",,-32, 
  매출액＜당기＞,694.2,463.5,341.0,919.1,660.9,, , 
  보통주수정평균발행주식수＜당기＞,"6,321,528","6,921,458","7,299,384","7,950,296","8,385,722","8,477,777", , 
  우선주수정평균발행주식수＜당기＞,"43,601",0,0,0,0,0, , 
펼치기 PER,N/A,8.92,42.96,11.85,69.67,,487.93, 
  보통주수정주가(기말)＜당기＞,"7,150","4,135","8,490","12,200","12,900","10,050", , 
  EPS＜당기＞,"-1,602",463,198,"1,030",185,, , 
펼치기 PBR,1.24,0.67,1.34,1.71,1.78,,3.85, 
  보통주수정주가(기말)＜당기＞,"7,150","4,135","8,490","12,200","12,900","10,050", , 
  BPS＜당기＞,"5,764","6,191","6,319","7,128","7,257",, , 
펼치기 PCR,-8.35,9.74,15.72,4.53,-11.56,,-355.29, 
  보통주수정주가(기말)＜당기＞,"7,150","4,135","8,490","12,200","12,900","10,050", , 
  CPS＜당기＞,-856,425,540,"2,694","-1,116",, , 
펼치기 PSR,0.66,0.62,1.82,1.06,1.64,,55.11, 
  보통주수정주가(기말)＜당기＞,"7,150","4,135","8,490","12,200","12,900","10,050", , 
  SPS＜당기＞,"10,906","6,697","4,671","11,561","7,881",, , 
펼치기 EV/EBITDA,-35.23,7.79,16.96,6.42,25.96,,304.20, 
  EV＜당기＞,474.7,317.1,619.8,823.5,"1,171.5",, , 
  EBITDA＜당기＞,-13.5,40.7,36.6,128.2,45.1,, , 
펼치기 DPS,0,0,0,200,50,,-75, 
  현금DPS,0,0,0,200,50,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,1.64,0.39,,-1.25, 
  현금배당성향(%),0.00,0.00,0.00,19.55,25.77,,6.22, 
