항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,-7,2,,124, 
  당기순이익(지배)＜당기＞,,,,-0.1,0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,020,355","4,310,000","4,310,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,"1,915","1,916",,0, 
  자본총계(지배)＜당기＞,,,,82.5,82.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"4,310,000","4,310,000","4,310,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,-8,3,,142, 
  영업활동현금흐름＜당기＞,,,,-0.2,0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,020,355","4,310,000","4,310,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,0,0,, , 
  매출액＜당기＞,,,,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"2,020,355","4,310,000","4,310,000", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,N/A,"1,222.31",,530.37, 
  보통주수정주가(기말)＜당기＞,,,,"2,045","2,085","2,165", , 
  EPS＜당기＞,,,,-7,2,, , 
펼치기 PBR,,,,1.07,1.09,,1.87, 
  보통주수정주가(기말)＜당기＞,,,,"2,045","2,085","2,165", , 
  BPS＜당기＞,,,,"1,915","1,916",, , 
펼치기 PCR,,,,-245.49,599.22,,344.09, 
  보통주수정주가(기말)＜당기＞,,,,"2,045","2,085","2,165", , 
  CPS＜당기＞,,,,-8,3,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,045","2,085","2,165", , 
  SPS＜당기＞,,,,0,0,, , 
펼치기 EV/EBITDA,,,,-361.25,-370.48,,-2.56, 
  EV＜당기＞,,,,85.5,87.8,, , 
  EBITDA＜당기＞,,,,-0.2,-0.2,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),,,,0.00,,, , 
