항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-443,-646,-881,"2,025","-3,106",, , 
  당기순이익(지배)＜당기＞,-38.7,-57.7,-79.7,195.1,-316.7,, , 
  보통주수정평균발행주식수＜당기＞,"8,726,452","8,934,863","9,039,883","9,633,870","10,125,548","10,414,987", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"70,389","67,976", , 
펼치기 BPS,"1,730","1,090",611,"3,646","1,391",, , 
  자본총계(지배)＜당기＞,154.4,97.4,58.2,367.5,145.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,921,164","8,941,164","9,528,497","10,078,897","10,369,397","10,428,530", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,"91,106","60,737", , 
펼치기 CPS,-415,-656,-566,-237,"-1,591",, , 
  영업활동현금흐름＜당기＞,-36.2,-58.6,-51.2,-22.9,-162.2,, , 
  보통주수정평균발행주식수＜당기＞,"8,726,452","8,934,863","9,039,883","9,633,870","10,125,548","10,414,987", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"70,389","67,976", , 
펼치기 SPS,58,14,4,"5,572","4,526",, , 
  매출액＜당기＞,5.1,1.3,0.4,536.8,461.5,, , 
  보통주수정평균발행주식수＜당기＞,"8,726,452","8,934,863","9,039,883","9,633,870","10,125,548","10,414,987", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,"70,389","67,976", , 
펼치기 PER,N/A,N/A,N/A,18.05,N/A,, , 
  보통주수정주가(기말)＜당기＞,"17,350","9,600","8,060","36,550","35,550","27,200", , 
  EPS＜당기＞,-443,-646,-881,"2,025","-3,106",, , 
펼치기 PBR,10.03,8.81,13.19,10.02,25.56,, , 
  보통주수정주가(기말)＜당기＞,"17,350","9,600","8,060","36,550","35,550","27,200", , 
  BPS＜당기＞,"1,730","1,090",611,"3,646","1,391",, , 
펼치기 PCR,-41.80,-14.64,-14.23,-153.98,-22.34,, , 
  보통주수정주가(기말)＜당기＞,"17,350","9,600","8,060","36,550","35,550","27,200", , 
  CPS＜당기＞,-415,-656,-566,-237,"-1,591",, , 
펼치기 PSR,299.13,667.29,"2,034.61",6.56,7.85,, , 
  보통주수정주가(기말)＜당기＞,"17,350","9,600","8,060","36,550","35,550","27,200", , 
  SPS＜당기＞,58,14,4,"5,572","4,526",, , 
펼치기 EV/EBITDA,-37.06,-15.02,-13.83,13.60,-15.20,, , 
  EV＜당기＞,"1,423.3",811.0,732.9,"3,675.8","3,607.6",, , 
  EBITDA＜당기＞,-38.4,-54.0,-53.0,270.3,-237.3,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
