항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-24,264,370,505,"1,349",,167, 
  당기순이익(지배)＜당기＞,-1.8,24.5,37.9,52.0,139.1,, , 
  보통주수정평균발행주식수＜당기＞,"7,524,363","9,260,708","10,247,593","10,315,513","10,315,513",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"2,042","2,276","2,661","3,189","4,591",,44, 
  자본총계(지배)＜당기＞,152.0,221.5,267.0,320.0,460.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,442,991","9,732,903","10,031,587","10,031,587","10,031,587",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,351,113,832,364,"1,743",,379, 
  영업활동현금흐름＜당기＞,26.4,10.5,85.2,37.5,179.8,, , 
  보통주수정평균발행주식수＜당기＞,"7,524,363","9,260,708","10,247,593","10,315,513","10,315,513",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"4,279","3,632","4,136","4,324","6,364",,47, 
  매출액＜당기＞,321.9,336.4,423.9,446.1,656.4,, , 
  보통주수정평균발행주식수＜당기＞,"7,524,363","9,260,708","10,247,593","10,315,513","10,315,513",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,N/A,9.64,14.61,25.67,7.86,,-69.38, 
  보통주수정주가(기말)＜당기＞,"2,535","2,550","5,400","12,950","10,600","8,500", , 
  EPS＜당기＞,-24,264,370,505,"1,349",, , 
펼치기 PBR,1.24,1.12,2.03,4.06,2.31,,-43.13, 
  보통주수정주가(기말)＜당기＞,"2,535","2,550","5,400","12,950","10,600","8,500", , 
  BPS＜당기＞,"2,042","2,276","2,661","3,189","4,591",, , 
펼치기 PCR,7.23,22.47,6.49,35.60,6.08,,-82.92, 
  보통주수정주가(기말)＜당기＞,"2,535","2,550","5,400","12,950","10,600","8,500", , 
  CPS＜당기＞,351,113,832,364,"1,743",, , 
펼치기 PSR,0.59,0.70,1.31,2.99,1.67,,-44.38, 
  보통주수정주가(기말)＜당기＞,"2,535","2,550","5,400","12,950","10,600","8,500", , 
  SPS＜당기＞,"4,279","3,632","4,136","4,324","6,364",, , 
펼치기 EV/EBITDA,17.01,7.23,6.32,19.35,6.88,,-64.46, 
  EV＜당기＞,334.4,325.2,513.3,"1,264.9",855.3,, , 
  EBITDA＜당기＞,19.7,45.0,81.2,65.4,124.4,, , 
펼치기 DPS,0,0,,,,, , 
  현금DPS,0,0,,,,, , 
  주식DPS,0,0,,,,, , 
  현금배당수익률,0.00,0.00,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
