항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-134,-145,33,"1,283","2,441",,90, 
  당기순이익(지배)＜당기＞,-34.4,-39.7,9.6,427.7,838.5,, , 
  보통주수정평균발행주식수＜당기＞,"25,617,168","26,877,204","28,985,949","33,325,296","34,350,291","34,064,339", , 
  우선주수정평균발행주식수＜당기＞,0,"498,522","598,799",0,0,0, , 
펼치기 BPS,864,"1,063",978,"2,383","4,638",,95, 
  자본총계(지배)＜당기＞,223.5,301.0,304.2,815.4,"1,577.2",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"25,858,764","27,283,332","31,103,474","34,222,319","34,008,187","33,991,623", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,"1,045,750",0,0,0,0, , 
펼치기 CPS,-41,22,108,"1,391","1,903",,37, 
  영업활동현금흐름＜당기＞,-10.6,6.1,31.9,463.7,653.6,, , 
  보통주수정평균발행주식수＜당기＞,"25,617,168","26,877,204","28,985,949","33,325,296","34,350,291","34,064,339", , 
  우선주수정평균발행주식수＜당기＞,0,"498,522","598,799",0,0,0, , 
펼치기 SPS,968,"1,006","1,121","3,585","5,892","5,989",64,2
  매출액＜당기＞,248.1,275.4,331.8,"1,194.8","2,024.1","2,040.0", , 
  보통주수정평균발행주식수＜당기＞,"25,617,168","26,877,204","28,985,949","33,325,296","34,350,291","34,064,339", , 
  우선주수정평균발행주식수＜당기＞,0,"498,522","598,799",0,0,0, , 
펼치기 PER,N/A,N/A,53.03,4.92,3.42,,-30.46, 
  보통주수정주가(기말)＜당기＞,"3,477","2,086","1,725","6,319","8,358","7,390", , 
  EPS＜당기＞,-134,-145,33,"1,283","2,441",, , 
펼치기 PBR,4.02,1.96,1.76,2.65,1.80,,-32.04, 
  보통주수정주가(기말)＜당기＞,"3,477","2,086","1,725","6,319","8,358","7,390", , 
  BPS＜당기＞,864,"1,063",978,"2,383","4,638",, , 
펼치기 PCR,-84.28,93.93,16.01,4.54,4.39,,-3.27, 
  보통주수정주가(기말)＜당기＞,"3,477","2,086","1,725","6,319","8,358","7,390", , 
  CPS＜당기＞,-41,22,108,"1,391","1,903",, , 
펼치기 PSR,3.59,2.07,1.54,1.76,1.42,1.23,-19.52,-13.00
  보통주수정주가(기말)＜당기＞,"3,477","2,086","1,725","6,319","8,358","7,390", , 
  SPS＜당기＞,968,"1,006","1,121","3,585","5,892","5,989", , 
펼치기 EV/EBITDA,66.61,44.73,10.42,2.89,1.79,,-38.15, 
  EV＜당기＞,936.3,519.8,509.0,"1,683.9","1,925.7",, , 
  EBITDA＜당기＞,14.1,11.6,48.9,583.3,"1,078.6",, , 
펼치기 DPS,0,0,0,0,100,, , 
  현금DPS,0,0,0,0,100,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,1.20,,1.20, 
  현금배당성향(%),0.00,0.00,0.00,0.00,3.97,,3.97, 
