항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,381","1,395",25,424,472,,11, 
  당기순이익(지배)＜당기＞,93.6,97.8,1.8,30.1,33.6,, , 
  보통주수정평균발행주식수＜당기＞,"6,777,428","7,015,190","7,106,760","7,106,760","7,106,760",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"9,337","10,131","9,880","10,184","10,551",,4, 
  자본총계(지배)＜당기＞,636.8,707.9,690.4,707.0,732.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,820,420","6,987,720","6,987,720","6,941,682","6,941,682","6,941,682", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,581","2,170",121,"4,671","-1,728",,-137, 
  영업활동현금흐름＜당기＞,107.2,152.2,8.6,332.0,-122.8,, , 
  보통주수정평균발행주식수＜당기＞,"6,777,428","7,015,190","7,106,760","7,106,760","7,106,760",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"10,270","9,859","7,298","9,362","11,218",,20, 
  매출액＜당기＞,696.1,691.6,518.6,665.3,797.2,, , 
  보통주수정평균발행주식수＜당기＞,"6,777,428","7,015,190","7,106,760","7,106,760","7,106,760",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,15.93,11.97,865.37,50.97,41.17,,-19.23, 
  보통주수정주가(기말)＜당기＞,"22,000","16,700","21,900","21,600","19,450","19,600", , 
  EPS＜당기＞,"1,381","1,395",25,424,472,, , 
펼치기 PBR,2.36,1.65,2.22,2.12,1.84,,-13.08, 
  보통주수정주가(기말)＜당기＞,"22,000","16,700","21,900","21,600","19,450","19,600", , 
  BPS＜당기＞,"9,337","10,131","9,880","10,184","10,551",, , 
펼치기 PCR,13.91,7.70,180.98,4.62,-11.26,,-343.46, 
  보통주수정주가(기말)＜당기＞,"22,000","16,700","21,900","21,600","19,450","19,600", , 
  CPS＜당기＞,"1,581","2,170",121,"4,671","-1,728",, , 
펼치기 PSR,2.14,1.69,3.00,2.31,1.73,,-24.85, 
  보통주수정주가(기말)＜당기＞,"22,000","16,700","21,900","21,600","19,450","19,600", , 
  SPS＜당기＞,"10,270","9,859","7,298","9,362","11,218",, , 
펼치기 EV/EBITDA,10.19,7.36,56.55,18.58,16.70,,-10.09, 
  EV＜당기＞,"1,430.9","1,010.2","1,488.1","1,202.2","1,235.6",, , 
  EBITDA＜당기＞,140.5,137.2,26.3,64.7,74.0,, , 
펼치기 DPS,270,270,70,100,100,,0, 
  현금DPS,270,270,70,100,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.23,1.62,0.32,0.46,0.51,,0.05, 
  현금배당성향(%),19.68,19.28,271.97,23.05,20.68,,-2.37, 
