항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-341,-57,-140,26,-275,, , 
  당기순이익(지배)＜당기＞,-66.0,-12.0,-31.8,6.3,-100.5,, , 
  보통주수정평균발행주식수＜당기＞,"19,344,378","20,956,108","22,691,710","24,128,044","36,575,342","43,476,960", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,876,"1,010","1,049","1,369","1,524",, , 
  자본총계(지배)＜당기＞,173.4,220.2,248.4,364.5,601.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"19,803,413","21,812,821","23,668,107","26,624,289","39,488,297","43,958,141", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,212,121,-79,-283,324,, , 
  영업활동현금흐름＜당기＞,41.0,25.3,-17.9,-68.3,118.3,, , 
  보통주수정평균발행주식수＜당기＞,"19,344,378","20,956,108","22,691,710","24,128,044","36,575,342","43,476,960", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,829","1,606","1,303","1,561","1,084",, , 
  매출액＜당기＞,353.9,336.5,295.6,376.7,396.4,, , 
  보통주수정평균발행주식수＜당기＞,"19,344,378","20,956,108","22,691,710","24,128,044","36,575,342","43,476,960", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,83.02,N/A,, , 
  보통주수정주가(기말)＜당기＞,"2,270","2,075","3,020","2,178","4,115","3,520", , 
  EPS＜당기＞,-341,-57,-140,26,-275,, , 
펼치기 PBR,2.59,2.06,2.88,1.59,2.70,, , 
  보통주수정주가(기말)＜당기＞,"2,270","2,075","3,020","2,178","4,115","3,520", , 
  BPS＜당기＞,876,"1,010","1,049","1,369","1,524",, , 
펼치기 PCR,10.72,17.18,-38.20,-7.69,12.72,, , 
  보통주수정주가(기말)＜당기＞,"2,270","2,075","3,020","2,178","4,115","3,520", , 
  CPS＜당기＞,212,121,-79,-283,324,, , 
펼치기 PSR,1.24,1.29,2.32,1.39,3.80,, , 
  보통주수정주가(기말)＜당기＞,"2,270","2,075","3,020","2,178","4,115","3,520", , 
  SPS＜당기＞,"1,829","1,606","1,303","1,561","1,084",, , 
펼치기 EV/EBITDA,61.40,12.76,161.96,18.61,20.88,, , 
  EV＜당기＞,784.7,710.7,938.7,747.7,"1,795.1",, , 
  EBITDA＜당기＞,12.8,55.7,5.8,40.2,86.0,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,0.00,, , 
