항목,2017/12,2018/12,2019/12,2020/12,"2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,73,-250,229,557,919,, , 
  당기순이익(지배)＜당기＞,27.1,-93.9,86.0,209.4,345.8,, , 
  보통주수정평균발행주식수＜당기＞,"37,419,522","37,546,484","37,588,226","37,612,963","37,635,295","37,647,097", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"7,830","7,191","7,452","7,998","8,836",, , 
  자본총계(지배)＜당기＞,"2,936.2","2,700.3","2,800.3","3,005.6","3,319.7",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"37,497,471","37,551,197","37,576,787","37,578,966","37,569,713","37,571,974", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-126,381,741,964,"2,475",, , 
  영업활동현금흐름＜당기＞,-47.2,143.1,278.5,362.5,931.5,, , 
  보통주수정평균발행주식수＜당기＞,"37,419,522","37,546,484","37,588,226","37,612,963","37,635,295","37,647,097", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,631","3,912","4,616","6,210","10,595",, , 
  매출액＜당기＞,"1,358.6","1,468.8","1,735.1","2,335.7","3,987.4",, , 
  보통주수정평균발행주식수＜당기＞,"37,419,522","37,546,484","37,588,226","37,612,963","37,635,295","37,647,097", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,765.55,N/A,165.66,416.35,135.40,, , 
  보통주수정주가(기말)＜당기＞,"55,540","57,627","37,912","231,788","124,400","76,700", , 
  EPS＜당기＞,73,-250,229,557,919,, , 
펼치기 PBR,7.09,8.01,5.09,28.98,14.08,, , 
  보통주수정주가(기말)＜당기＞,"55,540","57,627","37,912","231,788","124,400","76,700", , 
  BPS＜당기＞,"7,830","7,191","7,452","7,998","8,836",, , 
펼치기 PCR,-440.54,151.17,51.16,240.53,50.26,, , 
  보통주수정주가(기말)＜당기＞,"55,540","57,627","37,912","231,788","124,400","76,700", , 
  CPS＜당기＞,-126,381,741,964,"2,475",, , 
펼치기 PSR,15.30,14.73,8.21,37.33,11.74,, , 
  보통주수정주가(기말)＜당기＞,"55,540","57,627","37,912","231,788","124,400","76,700", , 
  SPS＜당기＞,"3,631","3,912","4,616","6,210","10,595",, , 
펼치기 EV/EBITDA,106.17,141.33,56.67,239.31,74.42,, , 
  EV＜당기＞,"22,194.9","23,010.4","15,730.9","88,783.9","47,759.2",, , 
  EBITDA＜당기＞,209.0,162.8,277.6,371.0,641.8,, , 
펼치기 DPS,9,0,23,10,15,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,9,0,23,10,15,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,0.00,, , 
