항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-2,007",34,"-2,918","-3,080","-1,199",, , 
  당기순이익(지배)＜당기＞,-72.0,1.2,-106.1,-112.7,-61.6,, , 
  보통주수정평균발행주식수＜당기＞,"3,584,994","3,628,208","3,636,141","3,658,330","5,137,574","8,202,141", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"5,946","5,969","3,150","1,340","2,290",, , 
  자본총계(지배)＜당기＞,215.7,216.6,115.1,58.9,146.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"3,628,208","3,628,208","3,653,256","4,396,112","6,407,831","8,772,174", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-786,122,"-1,944","2,148","2,170",, , 
  영업활동현금흐름＜당기＞,-28.2,4.4,-70.7,78.6,111.5,, , 
  보통주수정평균발행주식수＜당기＞,"3,584,994","3,628,208","3,636,141","3,658,330","5,137,574","8,202,141", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"15,737","32,655","20,688","11,892","9,085",, , 
  매출액＜당기＞,564.2,"1,184.8",752.3,435.1,466.7,, , 
  보통주수정평균발행주식수＜당기＞,"3,584,994","3,628,208","3,636,141","3,658,330","5,137,574","8,202,141", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,290.86,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,"23,000","9,980","10,750","7,050","8,550","6,990", , 
  EPS＜당기＞,"-2,007",34,"-2,918","-3,080","-1,199",, , 
펼치기 PBR,3.87,1.67,3.41,5.26,3.73,, , 
  보통주수정주가(기말)＜당기＞,"23,000","9,980","10,750","7,050","8,550","6,990", , 
  BPS＜당기＞,"5,946","5,969","3,150","1,340","2,290",, , 
펼치기 PCR,-29.26,81.94,-5.53,3.28,3.94,, , 
  보통주수정주가(기말)＜당기＞,"23,000","9,980","10,750","7,050","8,550","6,990", , 
  CPS＜당기＞,-786,122,"-1,944","2,148","2,170",, , 
펼치기 PSR,1.46,0.31,0.52,0.59,0.94,, , 
  보통주수정주가(기말)＜당기＞,"23,000","9,980","10,750","7,050","8,550","6,990", , 
  SPS＜당기＞,"15,737","32,655","20,688","11,892","9,085",, , 
펼치기 EV/EBITDA,-39.34,16.46,-7.23,-8.24,-58.84,, , 
  EV＜당기＞,978.1,529.8,594.5,454.4,460.8,, , 
  EBITDA＜당기＞,-24.9,32.2,-82.2,-55.1,-7.8,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
