항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,56,28,9,-299,93,, , 
  당기순이익(지배)＜당기＞,40.1,21.3,6.9,-231.6,73.0,, , 
  보통주수정평균발행주식수＜당기＞,"66,875,971","73,112,826","73,112,826","73,112,826","73,951,965","75,398,540", , 
  우선주수정평균발행주식수＜당기＞,"4,242,466","4,242,466","4,242,466","4,242,466","4,242,466","4,242,466", , 
펼치기 BPS,902,946,942,654,664,, , 
  자본총계(지배)＜당기＞,690.5,724.3,721.5,500.8,523.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"72,332,536","72,332,536","72,332,536","72,332,536","74,618,250","74,618,250", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"4,242,358","4,242,358","4,242,358","4,242,358","4,242,358","4,242,358", , 
펼치기 CPS,138,-25,187,152,-132,, , 
  영업활동현금흐름＜당기＞,97.9,-19.2,144.3,117.5,-103.4,, , 
  보통주수정평균발행주식수＜당기＞,"66,875,971","73,112,826","73,112,826","73,112,826","73,951,965","75,398,540", , 
  우선주수정평균발행주식수＜당기＞,"4,242,466","4,242,466","4,242,466","4,242,466","4,242,466","4,242,466", , 
펼치기 SPS,"2,887","2,713","2,640","1,831","2,714",, , 
  매출액＜당기＞,"2,053.1","2,098.6","2,041.8","1,416.7","2,122.1",, , 
  보통주수정평균발행주식수＜당기＞,"66,875,971","73,112,826","73,112,826","73,112,826","73,951,965","75,398,540", , 
  우선주수정평균발행주식수＜당기＞,"4,242,466","4,242,466","4,242,466","4,242,466","4,242,466","4,242,466", , 
펼치기 PER,17.24,35.63,110.81,N/A,8.41,, , 
  보통주수정주가(기말)＜당기＞,973,980,994,838,785,805, , 
  EPS＜당기＞,56,28,9,-299,93,, , 
펼치기 PBR,1.08,1.04,1.05,1.28,1.18,, , 
  보통주수정주가(기말)＜당기＞,973,980,994,838,785,805, , 
  BPS＜당기＞,902,946,942,654,664,, , 
펼치기 PCR,7.07,-39.40,5.33,5.52,-5.94,, , 
  보통주수정주가(기말)＜당기＞,973,980,994,838,785,805, , 
  CPS＜당기＞,138,-25,187,152,-132,, , 
펼치기 PSR,0.34,0.36,0.38,0.46,0.29,, , 
  보통주수정주가(기말)＜당기＞,973,980,994,838,785,805, , 
  SPS＜당기＞,"2,887","2,713","2,640","1,831","2,714",, , 
펼치기 EV/EBITDA,8.51,12.37,12.03,-34.29,11.57,, , 
  EV＜당기＞,"1,276.0","1,359.2","1,272.2","1,044.4","1,640.2",, , 
  EBITDA＜당기＞,149.9,109.9,105.7,-30.5,141.8,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
