항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,496,164,530,321,328,, , 
  당기순이익(지배)＜당기＞,109.4,45.7,151.0,91.4,93.3,, , 
  보통주수정평균발행주식수＜당기＞,"21,980,430","27,869,749","28,464,992","28,464,992","28,464,992","28,464,992", , 
  우선주수정평균발행주식수＜당기＞,"71,014",0,0,0,0,0, , 
펼치기 BPS,"1,671","2,535","3,027","3,346","3,571",, , 
  자본총계(지배)＜당기＞,377.4,721.0,856.5,946.5,"1,001.2",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"22,592,991","28,438,988","28,291,484","28,291,484","28,039,876","27,819,875", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,431,-28,356,263,629,, , 
  영업활동현금흐름＜당기＞,95.1,-7.9,101.4,74.9,179.0,, , 
  보통주수정평균발행주식수＜당기＞,"21,980,430","27,869,749","28,464,992","28,464,992","28,464,992","28,464,992", , 
  우선주수정평균발행주식수＜당기＞,"71,014",0,0,0,0,0, , 
펼치기 SPS,"4,586","3,762","4,400","4,891","5,451",, , 
  매출액＜당기＞,"1,011.2","1,048.4","1,252.4","1,392.2","1,551.5",, , 
  보통주수정평균발행주식수＜당기＞,"21,980,430","27,869,749","28,464,992","28,464,992","28,464,992","28,464,992", , 
  우선주수정평균발행주식수＜당기＞,"71,014",0,0,0,0,0, , 
펼치기 PER,,39.84,10.72,26.40,25.09,, , 
  보통주수정주가(기말)＜당기＞,,"6,531","5,685","8,477","8,220","6,970", , 
  EPS＜당기＞,496,164,530,321,328,, , 
펼치기 PBR,0.00,2.58,1.88,2.53,2.30,, , 
  보통주수정주가(기말)＜당기＞,,"6,531","5,685","8,477","8,220","6,970", , 
  BPS＜당기＞,"1,671","2,535","3,027","3,346","3,571",, , 
펼치기 PCR,0.00,-230.07,15.96,32.22,13.07,, , 
  보통주수정주가(기말)＜당기＞,,"6,531","5,685","8,477","8,220","6,970", , 
  CPS＜당기＞,431,-28,356,263,629,, , 
펼치기 PSR,0.00,1.74,1.29,1.73,1.51,, , 
  보통주수정주가(기말)＜당기＞,,"6,531","5,685","8,477","8,220","6,970", , 
  SPS＜당기＞,"4,586","3,762","4,400","4,891","5,451",, , 
펼치기 EV/EBITDA,,22.18,15.01,19.38,17.15,, , 
  EV＜당기＞,,"1,762.3","1,514.8","2,348.2","2,263.2",, , 
  EBITDA＜당기＞,155.3,79.4,100.9,121.2,131.9,, , 
펼치기 DPS,0,0,34,34,100,, , 
  현금DPS,0,0,34,34,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,0.00,0.59,0.40,1.22,, , 
  현금배당성향(%),0.00,0.00,6.25,10.32,30.06,, , 
