항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,48,71,105,90,141,,57, 
  당기순이익(지배)＜당기＞,21.0,31.6,46.5,44.8,62.4,, , 
  보통주수정평균발행주식수＜당기＞,"44,216,140","44,216,140","44,216,140","44,216,140","44,216,140",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,797,833,937,"1,035","1,177",,14, 
  자본총계(지배)＜당기＞,352.2,357.2,401.6,443.8,504.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"44,216,140","42,866,140","42,866,140","42,866,140","42,866,140",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,48,110,125,102,153,,50, 
  영업활동현금흐름＜당기＞,21.1,48.8,55.5,45.0,67.4,, , 
  보통주수정평균발행주식수＜당기＞,"44,216,140","44,216,140","44,216,140","44,216,140","44,216,140",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,290,348,444,476,551,,16, 
  매출액＜당기＞,128.4,153.8,196.4,210.4,243.8,, , 
  보통주수정평균발행주식수＜당기＞,"44,216,140","44,216,140","44,216,140","44,216,140","44,216,140",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,48.74,24.90,20.05,87.97,31.62,,-64.06, 
  보통주수정주가(기말)＜당기＞,"2,320","1,780","2,110","7,900","4,465","3,430", , 
  EPS＜당기＞,48,71,105,90,141,, , 
펼치기 PBR,2.91,2.14,2.25,7.63,3.79,,-50.30, 
  보통주수정주가(기말)＜당기＞,"2,320","1,780","2,110","7,900","4,465","3,430", , 
  BPS＜당기＞,797,833,937,"1,035","1,177",, , 
펼치기 PCR,48.51,16.14,16.82,77.57,29.27,,-62.27, 
  보통주수정주가(기말)＜당기＞,"2,320","1,780","2,110","7,900","4,465","3,430", , 
  CPS＜당기＞,48,110,125,102,153,, , 
펼치기 PSR,7.99,5.12,4.75,16.61,8.10,,-51.23, 
  보통주수정주가(기말)＜당기＞,"2,320","1,780","2,110","7,900","4,465","3,430", , 
  SPS＜당기＞,290,348,444,476,551,, , 
펼치기 EV/EBITDA,31.74,18.44,13.10,53.13,20.57,,-61.27, 
  EV＜당기＞,912.7,659.5,757.4,"3,291.6","1,718.6",, , 
  EBITDA＜당기＞,28.8,35.8,57.8,62.0,83.5,, , 
펼치기 DPS,0,5,7,7,7,,0, 
  현금DPS,0,5,7,7,7,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.28,0.33,0.09,0.16,,0.07, 
  현금배당성향(%),0.00,6.78,6.45,7.56,4.81,,-2.75, 
