항목,,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,-48,7,-8,,-207, 
  당기순이익(지배)＜당기＞,,,-0.4,0.3,-0.3,, , 
  보통주수정평균발행주식수＜당기＞,,,"890,932","4,410,000","4,410,000","11,928,074", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 BPS,,,"1,874","1,881","1,873",,-0, 
  자본총계(지배)＜당기＞,,,82.6,82.9,82.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"4,410,000","4,410,000","4,410,000","31,312,911", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,, , 
펼치기 CPS,,,-70,11,-5,,-151, 
  영업활동현금흐름＜당기＞,,,-0.6,0.5,-0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,"890,932","4,410,000","4,410,000","11,928,074", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 SPS,,,0,0,0,, , 
  매출액＜당기＞,,,0.0,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"890,932","4,410,000","4,410,000","11,928,074", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 PER,,,N/A,294.27,N/A,,-195.49, 
  보통주수정주가(기말)＜당기＞,,,"2,015","2,075","2,115","2,295", , 
  EPS＜당기＞,,,-48,7,-8,, , 
펼치기 PBR,,,1.08,1.10,1.13,,2.34, 
  보통주수정주가(기말)＜당기＞,,,"2,015","2,075","2,115","2,295", , 
  BPS＜당기＞,,,"1,874","1,881","1,873",, , 
펼치기 PCR,,,-28.59,194.15,-385.83,,-298.73, 
  보통주수정주가(기말)＜당기＞,,,"2,015","2,075","2,115","2,295", , 
  CPS＜당기＞,,,-70,11,-5,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,"2,015","2,075","2,115","2,295", , 
  SPS＜당기＞,,,0,0,0,, , 
펼치기 EV/EBITDA,,,-133.67,-278.23,-124.86,,55.12, 
  EV＜당기＞,,,86.3,89.5,92.0,, , 
  EBITDA＜당기＞,,,-0.6,-0.3,-0.7,, , 
펼치기 DPS,,,0,0,0,, , 
  현금DPS,,,0,0,0,, , 
  주식DPS,,,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),,,0.00,0.00,,, , 
