항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,189,-611,714,686,607,590,-12,-3
  당기순이익(지배)＜당기＞,10.9,-35.5,43.3,48.6,49.3,48.0, , 
  보통주수정평균발행주식수＜당기＞,"5,800,000","5,800,000","6,063,781","7,088,055","8,131,000","8,131,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,390",708,"1,578","4,149","4,630",,12, 
  자본총계(지배)＜당기＞,80.6,41.1,100.7,337.4,373.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,800,000","5,800,000","6,380,000","8,131,000","8,069,600","8,031,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,339,-195,959,418,667,,60, 
  영업활동현금흐름＜당기＞,19.7,-11.3,58.2,29.6,54.3,, , 
  보통주수정평균발행주식수＜당기＞,"5,800,000","5,800,000","6,063,781","7,088,055","8,131,000","8,131,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,535","5,242","6,264","6,190","5,867","6,444",-5,10
  매출액＜당기＞,263.0,304.0,379.8,438.7,477.1,524.0, , 
  보통주수정평균발행주식수＜당기＞,"5,800,000","5,800,000","6,063,781","7,088,055","8,131,000","8,131,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,20.63,18.45,16.87,-10.54,-8.58
  보통주수정주가(기말)＜당기＞,,,,"14,150","11,200","9,960", , 
  EPS＜당기＞,189,-611,714,686,607,590, , 
펼치기 PBR,0.00,0.00,0.00,3.41,2.42,,-29.08, 
  보통주수정주가(기말)＜당기＞,,,,"14,150","11,200","9,960", , 
  BPS＜당기＞,"1,390",708,"1,578","4,149","4,630",, , 
펼치기 PCR,0.00,0.00,0.00,33.87,16.78,,-50.45, 
  보통주수정주가(기말)＜당기＞,,,,"14,150","11,200","9,960", , 
  CPS＜당기＞,339,-195,959,418,667,, , 
펼치기 PSR,0.00,0.00,0.00,2.29,1.91,1.55,-16.50,-19.04
  보통주수정주가(기말)＜당기＞,,,,"14,150","11,200","9,960", , 
  SPS＜당기＞,"4,535","5,242","6,264","6,190","5,867","6,444", , 
펼치기 EV/EBITDA,,,,19.68,13.30,,-32.39, 
  EV＜당기＞,,,,955.8,691.8,, , 
  EBITDA＜당기＞,25.1,20.7,48.6,48.6,52.0,, , 
펼치기 DPS,15,0,30,80,110,,38, 
  현금DPS,15,0,30,80,110,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,0.57,0.98,,0.42, 
  현금배당성향(%),7.95,0.00,3.69,13.38,18.00,,4.62, 
