항목,,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,-37,12,-5,,-138, 
  당기순이익(지배)＜당기＞,,,-0.1,0.6,-0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,"352,959","5,020,000","5,020,000","5,020,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 BPS,,,"1,840","1,852","1,847",,-0, 
  자본총계(지배)＜당기＞,,,92.3,92.9,92.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"5,020,000","5,020,000","5,020,000","5,020,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,0, , 
펼치기 CPS,,,-44,-7,2,,126, 
  영업활동현금흐름＜당기＞,,,-0.2,-0.3,0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,"352,959","5,020,000","5,020,000","5,020,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 SPS,,,0,0,0,, , 
  매출액＜당기＞,,,0.0,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"352,959","5,020,000","5,020,000","5,020,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 PER,,,N/A,171.61,N/A,,-402.64, 
  보통주수정주가(기말)＜당기＞,,,"2,010","2,065","2,355","2,050", , 
  EPS＜당기＞,,,-37,12,-5,, , 
펼치기 PBR,,,1.09,1.12,1.28,,14.32, 
  보통주수정주가(기말)＜당기＞,,,"2,010","2,065","2,355","2,050", , 
  BPS＜당기＞,,,"1,840","1,852","1,847",, , 
펼치기 PCR,,,-45.92,-298.47,"1,290.64",,532.41, 
  보통주수정주가(기말)＜당기＞,,,"2,010","2,065","2,355","2,050", , 
  CPS＜당기＞,,,-44,-7,2,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,"2,010","2,065","2,355","2,050", , 
  SPS＜당기＞,,,0,0,0,, , 
펼치기 EV/EBITDA,,,-588.10,-302.94,-180.89,,40.29, 
  EV＜당기＞,,,93.2,96.7,112.1,, , 
  EBITDA＜당기＞,,,-0.2,-0.3,-0.6,, , 
펼치기 DPS,,,0,0,0,, , 
  현금DPS,,,0,0,0,, , 
  주식DPS,,,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),,,0.00,0.00,,, , 
