항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-308,62,-323,-175,-378,, , 
  당기순이익(지배)＜당기＞,-86.3,17.3,-93.3,-51.0,-122.7,, , 
  보통주수정평균발행주식수＜당기＞,"28,001,047","28,001,047","28,885,631","29,190,183","32,427,108","33,961,419", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,855,"1,000",714,585,530,, , 
  자본총계(지배)＜당기＞,239.5,280.1,207.7,176.8,174.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"28,001,047","28,001,047","29,083,136","30,202,538","32,911,248","34,323,675", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-236,4,-17,-62,-47,, , 
  영업활동현금흐름＜당기＞,-66.1,1.0,-4.9,-18.0,-15.1,, , 
  보통주수정평균발행주식수＜당기＞,"28,001,047","28,001,047","28,885,631","29,190,183","32,427,108","33,961,419", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,254,"1,065",357,144,160,, , 
  매출액＜당기＞,71.1,298.1,103.1,42.2,51.8,, , 
  보통주수정평균발행주식수＜당기＞,"28,001,047","28,001,047","28,885,631","29,190,183","32,427,108","33,961,419", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,62.00,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,,"3,830","3,145","3,360","2,950","3,055", , 
  EPS＜당기＞,-308,62,-323,-175,-378,, , 
펼치기 PBR,3.39,3.83,4.40,5.74,5.57,, , 
  보통주수정주가(기말)＜당기＞,,"3,830","3,145","3,360","2,950","3,055", , 
  BPS＜당기＞,855,"1,000",714,585,530,, , 
펼치기 PCR,-12.29,"1,049.18",-184.87,-54.58,-63.30,, , 
  보통주수정주가(기말)＜당기＞,,"3,830","3,145","3,360","2,950","3,055", , 
  CPS＜당기＞,-236,4,-17,-62,-47,, , 
펼치기 PSR,11.42,3.60,8.81,23.25,18.47,, , 
  보통주수정주가(기말)＜당기＞,,"3,830","3,145","3,360","2,950","3,055", , 
  SPS＜당기＞,254,"1,065",357,144,160,, , 
펼치기 EV/EBITDA,-12.79,50.20,-34.41,-41.73,-19.72,, , 
  EV＜당기＞,824.8,"1,054.1",928.2,"1,048.3","1,035.5",, , 
  EBITDA＜당기＞,-64.5,21.0,-27.0,-25.1,-52.5,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,0.00,, , 
