항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-3,850","-3,797",-818,"-1,207",-927,,23, 
  당기순이익(지배)＜당기＞,-747.3,"-1,172.3",-370.0,-556.1,-435.6,, , 
  보통주수정평균발행주식수＜당기＞,"19,289,300","30,817,244","45,228,771","46,064,899","46,974,496","47,512,804", , 
  우선주수정평균발행주식수＜당기＞,"122,282","57,514",0,0,0,0, , 
펼치기 BPS,"-4,424","3,520","2,914","1,960","1,187",,-39, 
  자본총계(지배)＜당기＞,-859.6,"1,569.6","1,320.1",906.6,559.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"19,289,300","44,587,000","45,303,350","46,246,225","47,123,275","47,616,014", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"139,136",0,0,0,0,0, , 
펼치기 CPS,-368,-410,-527,"-1,027",-864,,16, 
  영업활동현금흐름＜당기＞,-71.4,-126.7,-238.6,-472.9,-406.1,, , 
  보통주수정평균발행주식수＜당기＞,"19,289,300","30,817,244","45,228,771","46,064,899","46,974,496","47,512,804", , 
  우선주수정평균발행주식수＜당기＞,"122,282","57,514",0,0,0,0, , 
펼치기 SPS,4,41,88,176,114,,-35, 
  매출액＜당기＞,0.7,12.6,39.9,81.0,53.3,, , 
  보통주수정평균발행주식수＜당기＞,"19,289,300","30,817,244","45,228,771","46,064,899","46,974,496","47,512,804", , 
  우선주수정평균발행주식수＜당기＞,"122,282","57,514",0,0,0,0, , 
펼치기 PER,,N/A,N/A,N/A,N/A,,7.49, 
  보통주수정주가(기말)＜당기＞,,"20,000","24,150","31,100","22,100","21,150", , 
  EPS＜당기＞,"-3,850","-3,797",-818,"-1,207",-927,, , 
펼치기 PBR,0.00,5.68,8.29,15.86,18.61,,17.33, 
  보통주수정주가(기말)＜당기＞,,"20,000","24,150","31,100","22,100","21,150", , 
  BPS＜당기＞,"-4,424","3,520","2,914","1,960","1,187",, , 
펼치기 PCR,,-48.74,-45.79,-30.29,-25.57,,15.60, 
  보통주수정주가(기말)＜당기＞,,"20,000","24,150","31,100","22,100","21,150", , 
  CPS＜당기＞,-368,-410,-527,"-1,027",-864,, , 
펼치기 PSR,,490.90,273.82,176.77,194.70,,10.14, 
  보통주수정주가(기말)＜당기＞,,"20,000","24,150","31,100","22,100","21,150", , 
  SPS＜당기＞,4,41,88,176,114,, , 
펼치기 EV/EBITDA,,-31.48,-24.82,-23.78,-19.91,,16.28, 
  EV＜당기＞,,"7,368.4","9,626.7","13,693.6","9,983.5",, , 
  EBITDA＜당기＞,-92.5,-234.1,-387.8,-575.8,-501.5,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
