항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,76,89,96,-80,89,,211, 
  당기순이익(지배)＜당기＞,31.2,36.2,39.1,-33.2,40.4,, , 
  보통주수정평균발행주식수＜당기＞,"40,831,982","40,831,982","40,831,982","41,218,319","45,300,461","49,069,269", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,258,346,411,777,"1,695",,118, 
  자본총계(지배)＜당기＞,105.2,141.4,167.8,322.3,831.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"40,831,982","40,831,982","40,831,982","41,502,004","49,069,152","49,069,152", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,53,52,-28,229,67,,-71, 
  영업활동현금흐름＜당기＞,21.7,21.0,-11.3,94.6,30.4,, , 
  보통주수정평균발행주식수＜당기＞,"40,831,982","40,831,982","40,831,982","41,218,319","45,300,461","49,069,269", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,478","1,584","1,798","1,956","1,884",,-4, 
  매출액＜당기＞,603.4,646.8,734.2,806.2,853.5,, , 
  보통주수정평균발행주식수＜당기＞,"40,831,982","40,831,982","40,831,982","41,218,319","45,300,461","49,069,269", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,N/A,122.84,,204.23, 
  보통주수정주가(기말)＜당기＞,,"1,916","1,925","9,483","10,950","7,390", , 
  EPS＜당기＞,76,89,96,-80,89,, , 
펼치기 PBR,,,,12.21,6.46,,-47.08, 
  보통주수정주가(기말)＜당기＞,,"1,916","1,925","9,483","10,950","7,390", , 
  BPS＜당기＞,258,346,411,777,"1,695",, , 
펼치기 PCR,,,,41.32,163.06,,294.62, 
  보통주수정주가(기말)＜당기＞,,"1,916","1,925","9,483","10,950","7,390", , 
  CPS＜당기＞,53,52,-28,229,67,, , 
펼치기 PSR,,,,4.85,5.81,,19.87, 
  보통주수정주가(기말)＜당기＞,,"1,916","1,925","9,483","10,950","7,390", , 
  SPS＜당기＞,"1,478","1,584","1,798","1,956","1,884",, , 
펼치기 EV/EBITDA,,,,57.44,69.88,,21.65, 
  EV＜당기＞,,,,"3,887.3","5,059.5",, , 
  EBITDA＜당기＞,58.9,58.7,66.0,67.7,72.4,, , 
펼치기 DPS,0,0,0,0,10,, , 
  현금DPS,0,0,0,0,10,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,0.00,0.00,0.00,0.09,,0.09, 
  현금배당성향(%),0.00,0.00,0.00,0.00,12.15,,12.15, 
