항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-505,-128,-120,6,24,,287, 
  당기순이익(지배)＜당기＞,-54.1,-24.5,-27.8,2.5,11.0,, , 
  보통주수정평균발행주식수＜당기＞,"10,724,762","18,712,642","22,661,761","39,809,301","45,661,760","64,237,102", , 
  우선주수정평균발행주식수＜당기＞,0,"472,276","476,190","476,190","476,190","476,190", , 
펼치기 BPS,166,270,188,129,154,,19, 
  자본총계(지배)＜당기＞,20.9,61.0,42.5,59.1,70.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"12,625,301","22,146,296","22,146,296","45,146,295","45,146,295","65,146,295", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,"476,190","476,190","476,190","476,190",, , 
펼치기 CPS,-164,-249,-150,-15,-3,,80, 
  영업활동현금흐름＜당기＞,-17.6,-47.7,-34.7,-6.1,-1.4,, , 
  보통주수정평균발행주식수＜당기＞,"10,724,762","18,712,642","22,661,761","39,809,301","45,661,760","64,237,102", , 
  우선주수정평균발행주식수＜당기＞,0,"472,276","476,190","476,190","476,190","476,190", , 
펼치기 SPS,"1,117",343,5,171,189,,10, 
  매출액＜당기＞,119.8,65.8,1.2,68.8,87.0,, , 
  보통주수정평균발행주식수＜당기＞,"10,724,762","18,712,642","22,661,761","39,809,301","45,661,760","64,237,102", , 
  우선주수정평균발행주식수＜당기＞,0,"472,276","476,190","476,190","476,190","476,190", , 
펼치기 PER,N/A,N/A,N/A,160.21,41.40,,-74.16, 
  보통주수정주가(기말)＜당기＞,"3,220","3,220","3,220",990,990,990, , 
  EPS＜당기＞,-505,-128,-120,6,24,, , 
펼치기 PBR,19.43,11.94,17.15,7.65,6.43,,-15.94, 
  보통주수정주가(기말)＜당기＞,"3,220","3,220","3,220",990,990,990, , 
  BPS＜당기＞,166,270,188,129,154,, , 
펼치기 PCR,-19.58,-12.94,-21.44,-65.15,-318.40,,-388.70, 
  보통주수정주가(기말)＜당기＞,"3,220","3,220","3,220",990,990,990, , 
  CPS＜당기＞,-164,-249,-150,-15,-3,, , 
펼치기 PSR,2.88,9.39,613.66,5.80,5.25,,-9.45, 
  보통주수정주가(기말)＜당기＞,"3,220","3,220","3,220",990,990,990, , 
  SPS＜당기＞,"1,117",343,5,171,189,, , 
펼치기 EV/EBITDA,-20.05,-10.09,-36.17,60.18,48.39,,-19.58, 
  EV＜당기＞,306.6,321.0,319.3,337.6,330.3,, , 
  EBITDA＜당기＞,-15.3,-31.8,-8.8,5.6,6.8,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
