항목,,,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,"16,179","19,093","20,912",18,10
  당기순이익(지배)＜당기＞,,,,632.7,"1,485.2","1,626.7", , 
  보통주수정평균발행주식수＜당기＞,,,,"3,910,536","7,778,566","7,778,566", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,"63,766","81,797","100,822",28,23
  자본총계(지배)＜당기＞,,,,"4,952.1","6,352.5","7,830.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"7,766,136","7,766,136","7,766,136", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,"35,397","16,957","27,511",-52,62
  영업활동현금흐름＜당기＞,,,,"1,384.2","1,319.0","2,345.0", , 
  보통주수정평균발행주식수＜당기＞,,,,"3,910,536","7,778,566","7,778,566", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,"120,205","131,633","142,558",10,8
  매출액＜당기＞,,,,"4,700.7","10,239.1","11,089.0", , 
  보통주수정평균발행주식수＜당기＞,,,,"3,910,536","7,778,566","7,778,566", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,16.83,14.59,11.48,-13.34,-21.29
  보통주수정주가(기말)＜당기＞,,,,"272,300","278,500","240,100", , 
  EPS＜당기＞,,,,"16,179","19,093","20,912", , 
펼치기 PBR,,,,4.27,3.40,2.38,-20.27,-30.06
  보통주수정주가(기말)＜당기＞,,,,"272,300","278,500","240,100", , 
  BPS＜당기＞,,,,"63,766","81,797","100,822", , 
펼치기 PCR,,,,7.69,16.42,8.73,113.50,-46.86
  보통주수정주가(기말)＜당기＞,,,,"272,300","278,500","240,100", , 
  CPS＜당기＞,,,,"35,397","16,957","27,511", , 
펼치기 PSR,,,,2.27,2.12,1.68,-6.60,-20.40
  보통주수정주가(기말)＜당기＞,,,,"272,300","278,500","240,100", , 
  SPS＜당기＞,,,,"120,205","131,633","142,558", , 
펼치기 EV/EBITDA,,,,15.78,8.51,6.34,-46.10,-25.52
  EV＜당기＞,,,,"20,209.7","20,197.8","16,001.0", , 
  EBITDA＜당기＞,,,,"1,280.5","2,374.3","2,525.3", , 
펼치기 DPS,,,,"1,950","1,950",,0, 
  현금DPS,,,,"1,950","1,950",, , 
  주식DPS,,,,0,,, , 
  현금배당수익률,,,,0.72,0.70,0.83,-0.02,0.13
  현금배당성향(%),,,,23.94,10.20,9.50,-13.74,-0.69
