항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,143,569,"1,028",154,198,, , 
  당기순이익(지배)＜당기＞,9.7,41.9,75.7,11.3,18.0,, , 
  보통주수정평균발행주식수＜당기＞,"6,772,950","7,361,925","7,361,924","7,361,923","9,070,439","9,366,542", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,979,"1,531","2,564","2,740","6,898",, , 
  자본총계(지배)＜당기＞,72.0,112.7,188.7,201.7,644.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,361,925","7,361,924","7,361,923","7,361,923","9,344,042","9,257,452", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-172,714,"1,481",-873,"1,041",, , 
  영업활동현금흐름＜당기＞,-11.6,52.5,109.0,-64.3,94.4,, , 
  보통주수정평균발행주식수＜당기＞,"6,772,950","7,361,925","7,361,924","7,361,923","9,070,439","9,366,542", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,605","3,618","3,654","2,382","4,358",, , 
  매출액＜당기＞,108.7,266.4,269.0,175.4,395.3,, , 
  보통주수정평균발행주식수＜당기＞,"6,772,950","7,361,925","7,361,924","7,361,923","9,070,439","9,366,542", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,158.47,, , 
  보통주수정주가(기말)＜당기＞,,,,,"31,400","20,150", , 
  EPS＜당기＞,143,569,"1,028",154,198,, , 
펼치기 PBR,0.00,0.00,0.00,0.00,4.55,, , 
  보통주수정주가(기말)＜당기＞,,,,,"31,400","20,150", , 
  BPS＜당기＞,979,"1,531","2,564","2,740","6,898",, , 
펼치기 PCR,,,,,30.17,, , 
  보통주수정주가(기말)＜당기＞,,,,,"31,400","20,150", , 
  CPS＜당기＞,-172,714,"1,481",-873,"1,041",, , 
펼치기 PSR,,,,,7.20,, , 
  보통주수정주가(기말)＜당기＞,,,,,"31,400","20,150", , 
  SPS＜당기＞,"1,605","3,618","3,654","2,382","4,358",, , 
펼치기 EV/EBITDA,,,,,69.06,, , 
  EV＜당기＞,,,,,"2,618.0",, , 
  EBITDA＜당기＞,24.4,115.0,108.3,27.4,37.9,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
