항목,"2017/12
(GAAP개별)",2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-881,-146,-142,-77,34,,144, 
  당기순이익(지배)＜당기＞,-31.8,-5.3,-5.5,-3.6,1.6,, , 
  보통주수정평균발행주식수＜당기＞,"2,900,000","2,977,764","3,861,463","4,638,281","4,666,945","4,684,781", , 
  우선주수정평균발행주식수＜당기＞,"709,398","666,640",0,0,0,, , 
펼치기 BPS,"2,453","2,374","3,891","3,745","3,785",,1, 
  자본총계(지배)＜당기＞,88.5,87.4,180.5,173.7,177.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"2,900,000","3,680,381","4,638,281","4,638,281","4,684,781","4,684,781", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"709,398",0,0,0,0,, , 
펼치기 CPS,224,229,-257,78,267,,242, 
  영업활동현금흐름＜당기＞,8.1,8.3,-9.9,3.6,12.5,, , 
  보통주수정평균발행주식수＜당기＞,"2,900,000","2,977,764","3,861,463","4,638,281","4,666,945","4,684,781", , 
  우선주수정평균발행주식수＜당기＞,"709,398","666,640",0,0,0,, , 
펼치기 SPS,"2,551","3,672","3,581","2,561","3,213",,25, 
  매출액＜당기＞,92.1,133.8,138.3,118.8,150.0,, , 
  보통주수정평균발행주식수＜당기＞,"2,900,000","2,977,764","3,861,463","4,638,281","4,666,945","4,684,781", , 
  우선주수정평균발행주식수＜당기＞,"709,398","666,640",0,0,0,, , 
펼치기 PER,N/A,N/A,N/A,N/A,468.65,,474.49, 
  보통주수정주가(기말)＜당기＞,"9,400","10,350","7,420","9,650","16,050","11,100", , 
  EPS＜당기＞,-881,-146,-142,-77,34,, , 
펼치기 PBR,3.83,4.36,1.91,2.58,4.24,,64.56, 
  보통주수정주가(기말)＜당기＞,"9,400","10,350","7,420","9,650","16,050","11,100", , 
  BPS＜당기＞,"2,453","2,374","3,891","3,745","3,785",, , 
펼치기 PCR,41.97,45.22,-28.86,123.55,60.14,,-51.32, 
  보통주수정주가(기말)＜당기＞,"9,400","10,350","7,420","9,650","16,050","11,100", , 
  CPS＜당기＞,224,229,-257,78,267,, , 
펼치기 PSR,3.68,2.82,2.07,3.77,5.00,,32.58, 
  보통주수정주가(기말)＜당기＞,"9,400","10,350","7,420","9,650","16,050","11,100", , 
  SPS＜당기＞,"2,551","3,672","3,581","2,561","3,213",, , 
펼치기 EV/EBITDA,41.33,"2,796.66",-63.97,110.43,104.92,,-4.99, 
  EV＜당기＞,258.5,369.6,299.8,433.2,741.3,, , 
  EBITDA＜당기＞,6.3,0.1,-4.7,3.9,7.1,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
