항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,-60,1,,102, 
  당기순이익(지배)＜당기＞,,,,-0.3,0.1,, , 
  보통주수정평균발행주식수＜당기＞,,,,"429,235","5,500,000","5,990,736", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,"1,785","1,786",,0, 
  자본총계(지배)＜당기＞,,,,98.2,98.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"5,500,000","5,500,000","8,134,099", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,-71,3,,105, 
  영업활동현금흐름＜당기＞,,,,-0.3,0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,,"429,235","5,500,000","5,990,736", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,0,0,, , 
  매출액＜당기＞,,,,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,,"429,235","5,500,000","5,990,736", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,N/A,"2,026.58",,"6,086.59", 
  보통주수정주가(기말)＜당기＞,,,,"2,020","2,145","2,270", , 
  EPS＜당기＞,,,,-60,1,, , 
펼치기 PBR,,,,1.13,1.20,,6.13, 
  보통주수정주가(기말)＜당기＞,,,,"2,020","2,145","2,270", , 
  BPS＜당기＞,,,,"1,785","1,786",, , 
펼치기 PCR,,,,-28.57,656.58,,"2,398.36", 
  보통주수정주가(기말)＜당기＞,,,,"2,020","2,145","2,270", , 
  CPS＜당기＞,,,,-71,3,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,,"2,020","2,145","2,270", , 
  SPS＜당기＞,,,,0,0,, , 
펼치기 EV/EBITDA,,,,-367.21,-284.47,,22.53, 
  EV＜당기＞,,,,99.6,125.3,, , 
  EBITDA＜당기＞,,,,-0.3,-0.4,, , 
펼치기 DPS,,,,0,0,, , 
  현금DPS,,,,0,0,, , 
  주식DPS,,,,0,0,, , 
  현금배당수익률,,,,0.00,0.00,,0.00, 
  현금배당성향(%),,,,0.00,,, , 
