항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-811,-376,-403,-427,-407,, , 
  당기순이익(지배)＜당기＞,-42.4,-35.5,-40.0,-43.8,-47.0,, , 
  보통주수정평균발행주식수＜당기＞,"5,061,275","9,425,797","9,934,766","10,270,192","11,244,940","11,659,478", , 
  우선주수정평균발행주식수＜당기＞,"160,931",0,0,0,"296,113","581,082", , 
펼치기 BPS,191,545,272,789,"1,436",, , 
  자본총계(지배)＜당기＞,17.1,54.1,27.0,88.3,169.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,939,192","9,934,763","9,934,763","11,194,937","11,194,940","11,702,680", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,"581,082","581,082", , 
펼치기 CPS,-341,-258,-267,-340,-592,, , 
  영업활동현금흐름＜당기＞,-17.8,-24.3,-26.5,-34.9,-68.3,, , 
  보통주수정평균발행주식수＜당기＞,"5,061,275","9,425,797","9,934,766","10,270,192","11,244,940","11,659,478", , 
  우선주수정평균발행주식수＜당기＞,"160,931",0,0,0,"296,113","581,082", , 
펼치기 SPS,0,5,90,49,50,, , 
  매출액＜당기＞,,0.5,9.0,5.1,5.8,, , 
  보통주수정평균발행주식수＜당기＞,"5,061,275","9,425,797","9,934,766","10,270,192","11,244,940","11,659,478", , 
  우선주수정평균발행주식수＜당기＞,"160,931",0,0,0,"296,113","581,082", , 
펼치기 PER,,,,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,,,,"26,640","16,400","10,050", , 
  EPS＜당기＞,-811,-376,-403,-427,-407,, , 
펼치기 PBR,0.00,0.00,0.00,33.78,11.42,, , 
  보통주수정주가(기말)＜당기＞,,,,"26,640","16,400","10,050", , 
  BPS＜당기＞,191,545,272,789,"1,436",, , 
펼치기 PCR,,,,-78.30,-27.70,, , 
  보통주수정주가(기말)＜당기＞,,,,"26,640","16,400","10,050", , 
  CPS＜당기＞,-341,-258,-267,-340,-592,, , 
펼치기 PSR,,,,538.73,327.98,, , 
  보통주수정주가(기말)＜당기＞,,,,"26,640","16,400","10,050", , 
  SPS＜당기＞,0,5,90,49,50,, , 
펼치기 EV/EBITDA,,,,-66.18,-24.49,, , 
  EV＜당기＞,,,,"2,825.9","1,592.3",, , 
  EBITDA＜당기＞,-19.8,-36.7,-38.0,-42.7,-65.0,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
