항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,316,168,166,147,9,,-94, 
  당기순이익(지배)＜당기＞,20.4,11.3,12.7,11.4,0.7,, , 
  보통주수정평균발행주식수＜당기＞,"6,476,651","6,737,936","7,670,611","7,777,718","8,642,297","9,557,649", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,720","3,647","3,961","4,679","4,680",,0, 
  자본총계(지배)＜당기＞,160.4,249.1,290.7,344.2,447.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,896,651","6,829,456","7,337,754","7,356,235","9,557,649","9,234,354", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,529,433,288,340,401,,18, 
  영업활동현금흐름＜당기＞,34.3,29.1,22.1,26.5,34.7,, , 
  보통주수정평균발행주식수＜당기＞,"6,476,651","6,737,936","7,670,611","7,777,718","8,642,297","9,557,649", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,518","2,675","3,110","4,234","3,313",,-22, 
  매출액＜당기＞,163.1,180.2,238.5,329.3,286.3,, , 
  보통주수정평균발행주식수＜당기＞,"6,476,651","6,737,936","7,670,611","7,777,718","8,642,297","9,557,649", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,7.85,21.45,22.24,29.26,528.04,,"1,704.79", 
  보통주수정주가(기말)＜당기＞,"2,480","3,605","3,696","4,305","4,505","4,465", , 
  EPS＜당기＞,316,168,166,147,9,, , 
펼치기 PBR,0.91,0.99,0.93,0.92,0.96,,4.63, 
  보통주수정주가(기말)＜당기＞,"2,480","3,605","3,696","4,305","4,505","4,465", , 
  BPS＜당기＞,"2,720","3,647","3,961","4,679","4,680",, , 
펼치기 PCR,4.69,8.33,12.84,12.66,11.23,,-11.24, 
  보통주수정주가(기말)＜당기＞,"2,480","3,605","3,696","4,305","4,505","4,465", , 
  CPS＜당기＞,529,433,288,340,401,, , 
펼치기 PSR,0.98,1.35,1.19,1.02,1.36,,33.72, 
  보통주수정주가(기말)＜당기＞,"2,480","3,605","3,696","4,305","4,505","4,465", , 
  SPS＜당기＞,"2,518","2,675","3,110","4,234","3,313",, , 
펼치기 EV/EBITDA,5.84,7.71,13.36,8.06,11.05,,37.10, 
  EV＜당기＞,180.7,191.9,324.0,368.4,323.1,, , 
  EBITDA＜당기＞,30.9,24.9,24.3,45.7,29.2,, , 
펼치기 DPS,0,0,67,29,24,,-17, 
  현금DPS,0,0,67,29,0,, , 
  주식DPS,0,0,0,0,24,, , 
  현금배당수익률,0.00,0.00,1.80,0.66,0.00,,-0.66, 
  현금배당성향(%),0.00,0.00,38.27,18.31,,, , 
