,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 JW생명과학,18.92,13.56,9.78,
1,당기순이익(지배)<당기>,219,173,129,
2,자본총계(지배)<당기>,"1,226","1,325","1,315",
3,자본총계(지배)<전기>,"1,093","1,226","1,325","1,315"
4,펼치기 건강관리,2.13,5.40,7.14,13.50
5,당기순이익(지배)<당기>,"8,301","24,000","37,774","48,756"
6,자본총계(지배)<당기>,"409,871","481,780","599,382","387,367"
7,자본총계(지배)<전기>,"389,355","409,871","481,780","599,382"
8,펼치기 코스피,4.57,5.25,10.79,10.30
9,당기순이익(지배)<당기>,"714,894","847,907","1,905,845","1,837,890"
10,자본총계(지배)<당기>,"15,774,811","16,513,298","18,756,007","18,421,623"
11,자본총계(지배)<전기>,"15,060,735","15,774,811","16,513,298","18,756,007"
