,항목,2019,2020,2021,2022(E) 연간컨센서스닫기
0,펼치기 DB손해보험,6.88,8.98,13.38,11.55
1,당기순이익(지배)<당기>,"3,760","5,523","8,695","7,990"
2,자본총계(지배)<당기>,"59,459","64,052","66,411","71,940"
3,자본총계(지배)<전기>,"50,978","59,459","64,052","66,411"
4,펼치기 보험,4.29,4.78,7.69,6.60
5,당기순이익(지배)<당기>,"36,724","47,130","74,701","60,347"
6,자본총계(지배)<당기>,"927,764","1,038,525","940,816","920,129"
7,자본총계(지배)<전기>,"785,589","927,764","1,038,525","940,816"
8,펼치기 코스피,4.57,5.25,10.79,10.30
9,당기순이익(지배)<당기>,"714,894","847,907","1,905,845","1,837,890"
10,자본총계(지배)<당기>,"15,774,811","16,513,298","18,756,007","18,421,623"
11,자본총계(지배)<전기>,"15,060,735","15,774,811","16,513,298","18,756,007"
