항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),670.4,616.5,484.1,406.0,420.9,3.7
*내수,655.2,,453.1,370.2,,
*수출,15.2,,31.0,35.8,,
매출원가,408.0,390.6,302.5,274.2,259.5,-5.3
매출총이익,262.4,225.9,181.7,131.8,161.4,22.4
판매비와관리비,236.5,203.4,194.2,151.3,179.3,18.5
영업이익,25.9,22.6,-12.6,-19.5,-18.0,7.7
*기타영업손익,,,,,,
영업이익(발표기준),25.9,22.6,-12.6,-19.5,-18.0,7.7
*[구K-IFRS]영업이익,,,,,,
금융수익,20.0,24.8,102.3,60.3,69.2,14.6
금융원가,0.0,7.9,1.8,1.9,80.7,"4,076.4"
기타영업외손익,-0.1,6.4,3.8,5.3,14.2,171.3
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,45.8,45.9,91.8,44.2,-15.2,-134.5
법인세비용,19.5,16.4,24.6,12.0,-1.6,-113.0
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,26.3,29.5,67.2,32.2,-13.7,-142.5
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,26.3,29.5,67.2,32.2,-13.7,-142.5
기타포괄이익,11.0,-4.3,-1.1,-0.8,9.5,"1,242.2"
총포괄이익,37.3,25.2,66.1,31.4,-4.2,-113.3
*주당계속사업이익,"1,956","2,192","4,859","2,100",-892,-142
*주당순이익,"1,956","2,192","4,859","2,100",-892,-142
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"1,956","2,192","4,859","2,100",-892,-142
*(지배주주지분)주당순이익,"1,956","2,192","4,859","2,100",-892,-142
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
