항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),"18,185.6","18,108.1","17,880.3","15,223.2","16,078.1","16,819.5",5.6,4.6
*내수,"17,936.8",,"17,613.9",,,,,
*수출,248.8,,266.5,,,,,
매출원가,"14,926.5","15,029.7","14,877.8","12,369.7","13,121.0",,6.1,
매출총이익,"3,259.2","3,078.4","3,002.5","2,853.5","2,957.1","3,143.5",3.6,6.3
판매비와관리비,"2,596.8","2,402.7","2,507.8","2,408.2","2,572.5",,6.8,
영업이익,662.3,675.7,494.7,445.3,384.6,538.0,-13.6,39.9
*기타영업손익,,,,,,,,
영업이익(발표기준),662.3,675.7,494.7,445.3,384.6,,-13.6,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,99.3,22.4,7.2,9.8,8.4,,-14.5,
금융원가,244.0,110.4,52.2,60.0,49.0,,-18.4,
기타영업외손익,637.7,-27.9,46.9,571.8,-252.8,,-144.2,
"종속기업,공동지배기업및관계기업관련손익",-40.9,-0.9,,-1.4,-13.4,,-885.6,
법인세비용차감전계속사업이익,"1,114.3",559.0,496.5,965.5,77.8,489.5,-91.9,529.3
법인세비용,163.6,133.6,120.3,262.5,70.1,,-73.3,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,950.7,425.4,376.2,703.1,7.7,,-98.9,
중단사업이익,,,,-0.8,-18.1,,"-2,217.5",
*중단사업법인세효과,,,,,,,,
당기순이익,950.7,425.4,376.2,702.3,-10.5,371.5,-101.5,"3,648.7"
기타포괄이익,-665.6,-54.8,11.4,-56.5,5.3,,109.5,
총포괄이익,285.2,370.6,387.6,645.8,-5.1,,-100.8,
*주당계속사업이익,"74,827","46,757","41,351","77,277",809,,-99,
*주당순이익,"74,827","46,757","41,351","77,188","-1,103",,-101,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,"74,827","46,757","41,351","77,277",809,,-99,
*(지배주주지분)주당순이익,"74,827","46,757","41,351","77,188","-1,103","32,555",-101,"3,051"
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
