항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"1,297.1","1,320.2",526.2,305.2,205.3,-32.7
*내수,847.8,875.2,400.3,272.9,,
*수출,449.3,445.0,125.9,32.3,,
매출원가,624.3,683.0,447.9,245.8,180.1,-26.8
매출총이익,672.8,637.2,78.3,59.4,25.3,-57.5
판매비와관리비,449.8,565.8,598.4,182.0,198.1,8.8
영업이익,223.0,71.4,-520.1,-122.6,-172.8,-40.9
*기타영업손익,,,,,,
영업이익(발표기준),223.0,71.4,-520.1,-122.6,-172.8,-40.9
*[구K-IFRS]영업이익,,,,,,
금융수익,24.6,18.4,9.4,37.4,11.3,-69.7
금융원가,10.9,23.4,183.1,39.9,26.3,-34.0
기타영업외손익,-3.6,-65.4,-158.7,0.3,-226.1,"-84,508.5"
"종속기업,공동지배기업및관계기업관련손익",,2.4,-12.8,-60.7,26.9,144.3
법인세비용차감전계속사업이익,233.1,3.3,-865.3,-185.6,-387.0,-108.6
법인세비용,-37.6,17.8,27.3,35.0,-0.3,-100.8
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,270.8,-14.5,-892.6,-220.6,-386.7,-75.3
중단사업이익,,,,,-11.3,
*중단사업법인세효과,,,,,,
당기순이익,270.8,-14.5,-892.6,-220.6,-398.1,-80.5
기타포괄이익,-0.6,-15.6,0.6,-6.2,10.9,276.3
총포괄이익,270.2,-30.1,-892.0,-226.7,-387.2,-70.8
*주당계속사업이익,"1,097",-47,"-3,156",-531,-637,-20
*주당순이익,"1,097",-47,"-3,156",-531,-656,-24
*희석주당계속사업이익,"1,041",,,,,
*희석주당순이익,"1,041",,,,,
*(지배주주지분)주당계속사업이익,"1,097",-47,"-3,156",-531,-637,-20
*(지배주주지분)주당순이익,"1,097",-47,"-3,156",-531,-656,-24
*(지배주주지분)희석주당계속사업이익,"1,041",,,,,
*(지배주주지분)희석주당순이익,"1,041",,,,,
