항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),334.6,337.6,361.2,382.9,397.6,3.8
*내수,318.2,,340.6,352.3,,
*수출,16.4,,20.7,30.6,,
매출원가,280.0,282.8,312.2,335.5,332.6,-0.9
매출총이익,54.6,54.8,49.0,47.4,65.0,37.2
판매비와관리비,41.8,41.6,42.7,46.0,48.1,4.7
영업이익,12.8,13.2,6.3,1.4,16.9,"1,072.3"
*기타영업손익,,,,,,
영업이익(발표기준),12.8,13.2,6.3,1.4,16.9,"1,072.3"
*[구K-IFRS]영업이익,,,,,,
금융수익,0.4,0.4,0.3,0.2,0.6,229.4
금융원가,0.4,0.3,0.9,0.9,0.8,-17.5
기타영업외손익,0.8,-4.1,2.2,2.0,1.7,-15.3
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,13.7,9.2,8.0,2.7,18.4,587.3
법인세비용,1.3,-1.8,1.5,-1.3,1.5,215.2
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,12.4,11.1,6.5,3.9,16.9,329.6
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,12.4,11.1,6.5,3.9,16.9,329.6
기타포괄이익,0.7,-1.4,-1.6,-0.4,0.9,316.8
총포괄이익,13.1,9.6,4.8,3.5,17.8,402.5
*주당계속사업이익,21,18,11,7,28,300
*주당순이익,21,18,11,7,28,300
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,21,18,11,7,28,300
*(지배주주지분)주당순이익,21,18,11,7,28,300
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
