항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,전년대비
매출액(수익),"5,679.8","4,751.9","4,513.9","4,192.6","4,222.3",0.7
*내수,"5,679.8",,"4,513.9","4,192.6",,
*수출,,,,,,
매출원가,"4,833.5","3,793.6","3,780.5","3,497.8","3,674.2",5.0
매출총이익,846.3,958.3,733.3,694.8,548.1,-21.1
판매비와관리비,256.8,287.2,437.1,289.6,261.8,-9.6
영업이익,589.5,671.1,296.2,405.1,286.3,-29.3
*기타영업손익,,,,,,
영업이익(발표기준),589.5,671.1,296.2,405.1,286.3,-29.3
*[구K-IFRS]영업이익,,,,,,
금융수익,18.3,33.4,27.5,37.3,45.4,21.9
금융원가,2.3,4.7,5.8,21.2,28.7,35.5
기타영업외손익,-11.0,-70.5,-146.8,-66.2,-25.5,61.5
"종속기업,공동지배기업및관계기업관련손익",-11.6,13.7,5.0,77.9,85.7,10.1
법인세비용차감전계속사업이익,582.8,642.9,176.2,432.9,363.3,-16.1
법인세비용,136.3,150.7,99.5,103.7,66.5,-35.8
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,446.5,492.3,76.7,329.3,296.8,-9.9
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,446.5,492.3,76.7,329.3,296.8,-9.9
기타포괄이익,-3.1,-104.5,-3.0,-32.5,-27.8,14.6
총포괄이익,443.3,387.8,73.7,296.7,269.0,-9.3
*주당계속사업이익,"3,687","4,065",634,"2,742","2,467",-10
*주당순이익,"3,687","4,065",634,"2,742","2,467",-10
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"3,687","4,065",634,"2,742","2,467",-10
*(지배주주지분)주당순이익,"3,687","4,065",634,"2,742","2,467",-10
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
