항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),"4,901.9","4,337.0","4,486.3","4,317.2","4,331.3","4,754.0",0.3,9.8
*내수,,,"3,739.7",,,,,
*수출,,,746.6,,,,,
매출원가,"3,381.0","2,969.0","3,245.0","3,097.1","3,261.8",,5.3,
매출총이익,"1,521.0","1,368.0","1,241.4","1,220.1","1,069.5","1,521.0",-12.3,42.2
판매비와관리비,"1,192.2","1,153.0",800.7,924.4,968.2,,4.7,
영업이익,328.7,215.0,440.7,295.7,101.3,434.0,-65.8,328.5
*기타영업손익,,,,,,,,
영업이익(발표기준),328.7,215.0,440.7,295.7,101.3,,-65.8,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,58.2,23.5,26.4,20.1,19.6,,-2.7,
금융원가,4.3,7.4,0.9,1.0,0.5,,-49.8,
기타영업외손익,107.2,-32.7,-122.3,-50.8,52.1,,202.7,
"종속기업,공동지배기업및관계기업관련손익",-10.0,-0.2,-1.2,1.3,4.7,,276.6,
법인세비용차감전계속사업이익,479.9,198.2,342.7,265.4,177.3,486.0,-33.2,174.2
법인세비용,155.3,68.8,78.7,63.8,12.8,,-80.0,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,324.5,129.4,264.0,201.6,164.5,,-18.4,
중단사업이익,,,,,,,,
*중단사업법인세효과,,,,,,,,
당기순이익,324.5,129.4,264.0,201.6,164.5,365.0,-18.4,121.8
기타포괄이익,180.7,-2.2,97.6,-15.0,86.5,,675.0,
총포괄이익,505.3,127.2,361.6,186.6,251.0,,34.6,
*주당계속사업이익,853,340,694,530,432,,-18,
*주당순이익,853,340,694,530,432,,-18,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,853,340,694,530,432,,-18,
*(지배주주지분)주당순이익,853,340,694,530,432,955,-18,121
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
