항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"8,715.5","16,065.3","14,227.1","10,868.3","14,571.5",34.1
*내수,,,"14,227.1","10,868.3",,
*수출,,,,,,
매출원가,"7,932.4","14,805.2","13,101.9","9,834.6","13,432.7",36.6
매출총이익,783.1,"1,260.1","1,125.2","1,033.7","1,138.9",10.2
판매비와관리비,566.5,833.6,844.6,852.4,867.6,1.8
영업이익,216.6,426.6,280.6,181.4,271.3,49.6
*기타영업손익,,,,,,
영업이익(발표기준),216.6,426.6,280.6,181.4,271.3,49.6
*[구K-IFRS]영업이익,,,,,,
금융수익,20.5,36.8,42.3,28.9,28.2,-2.6
금융원가,3.2,4.3,9.6,9.9,8.5,-14.3
기타영업외손익,-2.1,-16.6,7.1,48.2,7.2,-85.1
"종속기업,공동지배기업및관계기업관련손익",,,,,-1.2,
법인세비용차감전계속사업이익,231.8,442.4,320.3,248.6,297.0,19.4
법인세비용,53.8,100.8,73.9,58.5,75.5,29.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,178.0,341.6,246.4,190.2,221.5,16.5
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,178.0,341.6,246.4,190.2,221.5,16.5
기타포괄이익,7.7,-16.5,-12.6,35.1,17.4,-50.3
총포괄이익,185.7,325.1,233.8,225.2,238.9,6.1
*주당계속사업이익,"3,771","7,235","4,167","3,224","3,756",17
*주당순이익,"3,771","7,235","4,167","3,224","3,756",17
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"3,771","7,235","4,167","3,224","3,756",17
*(지배주주지분)주당순이익,"3,771","7,235","4,167","3,224","3,756",17
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
