항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12
매출액(수익),721.0,796.2,782.7,707.1,730.8
*내수,260.7,,259.7,,
*수출,460.4,,529.3,,
매출원가,726.3,744.3,770.3,682.0,743.6
매출총이익,-5.3,52.0,12.4,25.1,-12.8
판매비와관리비,23.6,27.0,59.5,64.9,69.0
영업이익,-28.9,25.0,-47.1,-39.8,-81.8
*기타영업손익,,,,,
영업이익(발표기준),-28.9,25.0,-47.1,-39.8,-81.8
*[구K-IFRS]영업이익,,,,,
금융수익,0.5,0.1,1.1,0.1,0.2
금융원가,18.7,7.7,8.1,34.1,3.5
기타영업외손익,-7.3,10.5,-59.3,-32.9,-80.9
"종속기업,공동지배기업및관계기업관련손익",0.1,0.6,1.5,-3.8,
법인세비용차감전계속사업이익,-54.3,28.4,-112.0,-110.5,-166.1
법인세비용,,,,,
종속회사매수일전순손익,,,,,
처분된종속회사순손익,,,,,
계속사업이익,-54.3,28.4,-112.0,-110.5,-166.1
중단사업이익,,,,,
*중단사업법인세효과,,,,,
당기순이익,-54.3,28.4,-112.0,-110.5,-166.1
기타포괄이익,4.0,3.7,-12.9,11.3,2.7
총포괄이익,-50.3,32.0,-124.9,-99.2,-163.4
*주당계속사업이익,-121,55,-203,-171,-256
*주당순이익,-121,55,-203,-171,-256
*희석주당계속사업이익,,49,,,
*희석주당순이익,,49,,,
*(지배주주지분)주당계속사업이익,-121,55,-203,-171,-256
*(지배주주지분)주당순이익,-121,55,-203,-171,-256
*(지배주주지분)희석주당계속사업이익,,49,,,
*(지배주주지분)희석주당순이익,,49,,,
