항목,2021/12
매출액(수익),"11,464.1"
*내수,
*수출,
매출원가,
매출총이익,"11,464.1"
판매비와관리비,"7,266.2"
영업이익,"4,197.9"
*기타영업손익,
영업이익(발표기준),"4,197.9"
*[구K-IFRS]영업이익,
금융수익,203.1
금융원가,572.7
기타영업외손익,-130.4
"종속기업,공동지배기업및관계기업관련손익",-42.6
법인세비용차감전계속사업이익,"3,655.3"
법인세비용,23.8
종속회사매수일전순손익,
처분된종속회사순손익,
계속사업이익,"3,631.6"
중단사업이익,
*중단사업법인세효과,
당기순이익,"3,631.6"
기타포괄이익,85.6
총포괄이익,"3,717.2"
*주당계속사업이익,"2,653"
*주당순이익,"2,653"
*희석주당계속사업이익,"2,651"
*희석주당순이익,"2,651"
*(지배주주지분)주당계속사업이익,"2,653"
*(지배주주지분)주당순이익,"2,653"
*(지배주주지분)희석주당계속사업이익,"2,651"
*(지배주주지분)희석주당순이익,"2,651"
