항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"5,733.1","6,711.6","5,465.3","3,772.5","4,442.4",17.8
*내수,"5,733.1","6,711.6","5,465.3","3,772.5",,
*수출,,,,,,
매출원가,"5,152.6","6,159.6","5,018.4","3,361.8","3,778.5",12.4
매출총이익,580.5,552.0,447.0,410.7,664.0,61.7
판매비와관리비,164.4,201.5,166.6,263.9,230.5,-12.7
영업이익,416.1,350.5,280.4,146.8,433.5,195.3
*기타영업손익,,,,,,
영업이익(발표기준),416.1,350.5,280.4,146.8,433.5,195.3
*[구K-IFRS]영업이익,,,,,,
금융수익,2.4,5.7,6.2,10.2,20.2,98.2
금융원가,13.2,6.6,7.1,8.1,0.7,-91.0
기타영업외손익,-187.0,-289.1,-36.0,-7.0,41.6,698.1
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,218.3,60.5,243.5,142.0,494.6,248.3
법인세비용,,,40.1,-62.0,-39.6,36.2
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,218.3,60.5,203.4,204.0,534.1,161.9
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,218.3,60.5,203.4,204.0,534.1,161.9
기타포괄이익,74.4,-8.1,-17.3,10.4,-13.1,-225.8
총포괄이익,292.7,52.4,186.1,214.4,521.1,143.1
*주당계속사업이익,166,41,140,140,367,162
*주당순이익,166,41,140,140,367,162
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,166,41,140,140,367,162
*(지배주주지분)주당순이익,166,41,140,140,367,162
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
