항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12
매출액(수익),"2,237.8","2,483.5","2,338.9","2,448.2","2,629.4"
*내수,"2,230.1",,"2,330.9","2,433.6",
*수출,7.7,,8.0,14.6,
매출원가,"2,045.8","2,257.9","2,125.0","2,243.9","2,389.0"
매출총이익,191.9,225.6,214.0,204.4,240.4
판매비와관리비,157.6,175.5,174.1,165.5,194.9
영업이익,34.4,50.1,39.8,38.9,45.5
*기타영업손익,,,,,
영업이익(발표기준),34.4,50.1,39.8,38.9,45.5
*[구K-IFRS]영업이익,,,,,
금융수익,1.6,2.2,5.1,4.5,8.6
금융원가,0.5,0.5,2.2,3.2,3.0
기타영업외손익,1.5,4.4,1.5,5.1,2.4
"종속기업,공동지배기업및관계기업관련손익",-0.0,,,,0.8
법인세비용차감전계속사업이익,36.9,56.2,44.2,45.2,54.3
법인세비용,12.3,20.4,12.7,15.7,18.3
종속회사매수일전순손익,,,,,
처분된종속회사순손익,,,,,
계속사업이익,24.6,35.8,31.6,29.5,36.0
중단사업이익,,,,,
*중단사업법인세효과,,,,,
당기순이익,24.6,35.8,31.6,29.5,36.0
기타포괄이익,3.7,-7.3,-2.8,1.6,-0.5
총포괄이익,28.3,28.5,28.8,31.1,35.5
*주당계속사업이익,120,175,154,144,169
*주당순이익,120,175,154,144,169
*희석주당계속사업이익,,,,,
*희석주당순이익,,,,,
*(지배주주지분)주당계속사업이익,120,175,154,144,169
*(지배주주지분)주당순이익,120,175,154,144,169
*(지배주주지분)희석주당계속사업이익,,,,,
*(지배주주지분)희석주당순이익,,,,,
