항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),924.0,"3,013.7","5,872.2","7,962.8","12,559.3","19,681.2",57.7,56.7
*내수,,,,"4,584.1",,,,
*수출,,,,"3,378.7",,,,
매출원가,506.5,"1,899.8","3,856.9","4,215.4","6,329.3",,50.1,
매출총이익,417.5,"1,113.9","2,015.4","3,747.5","6,230.0","9,318.7",66.3,49.6
판매비와관리비,92.1,314.6,"1,028.0","2,292.3","4,327.5",,88.8,
영업이익,325.5,799.3,987.4,"1,455.2","1,902.5","3,354.0",30.7,76.3
*기타영업손익,,,,,,,,
영업이익(발표기준),325.5,799.3,987.4,"1,455.2","1,902.5",,30.7,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,1.8,22.1,74.9,65.4,446.5,,582.5,
금융원가,,"1,287.9",64.8,204.0,385.3,,88.8,
기타영업외손익,-11.2,-16.7,-3.6,-38.0,-18.2,,52.1,
"종속기업,공동지배기업및관계기업관련손익",,-1.2,-9.1,-16.1,159.4,,"1,092.7",
법인세비용차감전계속사업이익,316.1,-484.5,984.9,"1,262.5","2,104.8","3,604.1",66.7,71.2
법인세비용,70.4,220.2,260.7,391.9,696.5,,77.7,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,245.7,-704.7,724.2,870.6,"1,408.3",,61.8,
중단사업이익,,,,,,,,
*중단사업법인세효과,,,,,,,,
당기순이익,245.7,-704.7,724.2,870.6,"1,408.3","2,548.6",61.8,81.0
기타포괄이익,,-0.5,0.1,-3.8,616.5,,"16,512.8",
총포괄이익,,-705.2,724.4,866.9,"2,024.9",,133.6,
*주당계속사업이익,"23,398","-54,030","47,219","2,986","3,625",,21,
*주당순이익,"23,398","-54,030","47,219","2,986","3,625",,21,
*희석주당계속사업이익,,,"42,174","2,825","3,608",,28,
*희석주당순이익,,,"42,174","2,825","3,608",,28,
*(지배주주지분)주당계속사업이익,"23,398","-54,030","47,219","2,986","3,625",,21,
*(지배주주지분)주당순이익,"23,398","-54,030","47,219","2,986","3,625","5,990",21,65
*(지배주주지분)희석주당계속사업이익,,,"42,174","2,825","3,608",,28,
*(지배주주지분)희석주당순이익,,,"42,174","2,825","3,608",,28,
