항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
영업수익,"42,647.7","41,570.7","42,682.3","44,929.6","45,146.0",0.5
영업비용,"41,576.0","40,942.3","42,238.4","44,670.5","44,374.6",-0.7
영업이익,"1,071.8",628.4,444.0,259.1,771.4,197.8
영업외수익,24.2,8.1,14.0,20.0,55.5,177.0
영업외비용,40.7,38.8,18.1,14.7,13.8,-5.5
법인세비용차감전계속사업이익,"1,055.3",597.6,439.9,264.4,813.0,207.4
법인세비용,202.3,93.2,55.6,37.3,192.6,415.8
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,853.0,504.4,384.3,227.1,620.5,173.2
중단사업이익,,,,,,
*중단사업이익법인세효과,,,,,,
당기순이익,853.0,504.4,384.3,227.1,620.5,173.2
기타포괄이익,-30.1,74.6,-32.6,-56.6,-899.2,"-1,489.0"
총포괄이익,822.9,579.0,351.7,170.5,-278.8,-263.5
*주당계속사업이익,"1,231",695,510,268,873,226
*주당순이익,"1,231",695,510,268,873,226
*희석주당계속사업이익,"1,228",693,509,267,871,226
*희석주당순이익,"1,228",693,509,267,871,226
*(지배주주지분)주당계속사업이익,"1,231",695,510,268,873,226
*(지배주주지분)주당순이익,"1,231",695,510,268,873,226
*(지배주주지분)희석주당계속사업이익,"1,228",693,509,267,871,226
*(지배주주지분)희석주당순이익,"1,228",693,509,267,871,226
