항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),660.1,627.1,640.4,595.2,681.6,14.5
*내수,660.1,,640.4,595.2,,
*수출,,,,,,
매출원가,425.1,428.5,437.8,409.6,479.1,17.0
매출총이익,235.0,198.6,202.6,185.6,202.4,9.1
판매비와관리비,58.4,62.3,61.4,58.5,61.0,4.4
영업이익,176.6,136.3,141.2,127.1,141.4,11.2
*기타영업손익,,,,,,
영업이익(발표기준),176.6,136.3,141.2,127.1,141.4,11.2
*[구K-IFRS]영업이익,,,,,,
금융수익,17.7,18.8,29.0,27.8,52.1,87.3
금융원가,4.8,7.3,8.9,40.3,12.3,-69.4
기타영업외손익,-1.3,-0.4,-0.1,-0.6,0.4,168.5
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,188.2,147.4,161.3,114.0,181.6,59.3
법인세비용,34.5,29.9,33.2,22.0,36.1,64.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,153.7,117.6,128.1,92.0,145.4,58.2
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,153.7,117.6,128.1,92.0,145.4,58.2
기타포괄이익,2.2,5.2,-7.1,2.5,-2.8,-214.2
총포괄이익,155.9,122.8,121.1,94.4,142.6,51.0
*주당계속사업이익,"13,029","10,397","11,834","8,778","14,114",61
*주당순이익,"13,029","10,397","11,834","8,778","14,114",61
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"13,029","10,397","11,834","8,778","14,114",61
*(지배주주지분)주당순이익,"13,029","10,397","11,834","8,778","14,114",61
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
