항목,"2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
매출액(수익),"7,426.6","11,853.6","13,231.1","19,023.9","23,782.0",43.8,25.0
*내수,,,,,,,
*수출,,,,,,,
매출원가,"6,700.2","10,621.5","11,793.2","16,968.6",,43.9,
매출총이익,726.4,"1,232.0","1,437.9","2,055.4","2,470.0",42.9,20.2
판매비와관리비,739.0,940.0,"1,060.9","1,344.3",,26.7,
영업이익,-12.6,292.0,377.0,711.1,905.6,88.6,27.4
*기타영업손익,,,,,,,
영업이익(발표기준),-12.6,292.0,377.0,711.1,,88.6,
*[구K-IFRS]영업이익,,,,,,,
금융수익,2.8,4.5,4.9,5.5,,11.4,
금융원가,39.4,96.6,69.7,93.1,,33.5,
기타영업외손익,-20.2,-7.2,-2.3,1.9,,180.8,
"종속기업,공동지배기업및관계기업관련손익",,,,,,,
법인세비용차감전계속사업이익,-69.4,192.8,309.9,625.4,799.4,101.8,27.8
법인세비용,-12.6,45.0,68.6,157.6,,129.9,
종속회사매수일전순손익,,,,,,,
처분된종속회사순손익,,,,,,,
계속사업이익,-56.8,147.8,241.3,467.8,,93.8,
중단사업이익,,,,,,,
*중단사업법인세효과,,,,,,,
당기순이익,-56.8,147.8,241.3,467.8,604.0,93.8,29.1
기타포괄이익,,-17.1,-15.3,-11.5,,24.6,
총포괄이익,,130.6,226.0,456.2,,101.9,
*주당계속사업이익,-426,"1,107","1,807","1,004",,-44,
*주당순이익,-426,"1,107","1,807","1,004",,-44,
*희석주당계속사업이익,,,,,,,
*희석주당순이익,,,,,,,
*(지배주주지분)주당계속사업이익,-426,"1,107","1,807","1,004",,-44,
*(지배주주지분)주당순이익,-426,"1,107","1,807","1,004","1,256",-44,25
*(지배주주지분)희석주당계속사업이익,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,
