항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12
매출액(수익),85.6,110.3,143.4,211.9,319.5
*내수,,,,,
*수출,,,,,
매출원가,,,,,
매출총이익,85.6,110.3,143.4,211.9,319.5
판매비와관리비,35.9,38.2,38.8,42.0,139.8
영업이익,49.7,72.1,104.7,169.9,179.7
*기타영업손익,,,,,
영업이익(발표기준),49.7,72.1,104.7,169.9,179.7
*[구K-IFRS]영업이익,,,,,
금융수익,1.6,1.7,1.4,0.5,0.6
금융원가,19.6,31.4,36.6,26.6,33.9
기타영업외손익,-0.1,0.2,-0.1,-0.2,0.3
"종속기업,공동지배기업및관계기업관련손익",,,,,
법인세비용차감전계속사업이익,31.5,42.6,69.5,143.5,146.8
법인세비용,6.7,9.2,15.1,32.0,32.0
종속회사매수일전순손익,,,,,
처분된종속회사순손익,,,,,
계속사업이익,24.8,33.4,54.4,111.6,114.8
중단사업이익,,,,,
*중단사업법인세효과,,,,,
당기순이익,24.8,33.4,54.4,111.6,114.8
기타포괄이익,0.3,-1.4,0.2,1.5,5.4
총포괄이익,25.1,32.1,54.6,113.0,120.2
*주당계속사업이익,59,76,121,241,249
*주당순이익,59,76,121,241,249
*희석주당계속사업이익,58,,,,
*희석주당순이익,58,,,,
*(지배주주지분)주당계속사업이익,59,76,121,241,249
*(지배주주지분)주당순이익,59,76,121,241,249
*(지배주주지분)희석주당계속사업이익,58,,,,
*(지배주주지분)희석주당순이익,58,,,,
