항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"1,274.5","1,450.9","1,348.0",986.5,"1,240.8",25.8
*내수,456.4,,230.8,206.8,,
*수출,818.1,,"1,117.2",779.7,,
매출원가,"1,154.7","1,299.7","1,295.9","1,043.3","1,124.3",7.8
매출총이익,119.8,151.2,52.0,-56.8,116.5,304.9
판매비와관리비,73.2,88.5,80.4,73.1,61.1,-16.4
영업이익,46.6,62.7,-28.4,-129.9,55.3,142.6
*기타영업손익,,,,,,
영업이익(발표기준),46.6,62.7,-28.4,-129.9,55.3,142.6
*[구K-IFRS]영업이익,,,,,,
금융수익,0.9,0.5,0.2,0.2,0.1,-68.3
금융원가,39.1,43.6,49.6,38.7,38.7,-0.1
기타영업외손익,11.0,7.6,2.1,7.0,18.2,159.5
"종속기업,공동지배기업및관계기업관련손익",-4.5,-0.7,,,,
법인세비용차감전계속사업이익,14.9,26.4,-75.6,-161.4,34.9,121.7
법인세비용,3.9,6.7,-0.7,-6.2,11.2,281.9
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,11.0,19.7,-74.9,-155.2,23.7,115.3
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,11.0,19.7,-74.9,-155.2,23.7,115.3
기타포괄이익,0.5,-8.5,-11.2,-3.0,8.0,366.1
총포괄이익,11.5,11.2,-86.1,-158.3,31.8,120.1
*주당계속사업이익,36,67,-254,-525,80,115
*주당순이익,36,67,-254,-525,80,115
*희석주당계속사업이익,,,,,65,
*희석주당순이익,,,,,65,
*(지배주주지분)주당계속사업이익,36,67,-254,-525,80,115
*(지배주주지분)주당순이익,36,67,-254,-525,80,115
*(지배주주지분)희석주당계속사업이익,,,,,65,
*(지배주주지분)희석주당순이익,,,,,65,
