항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,전년대비
매출액(수익),"1,449.8","1,754.9","1,683.9","1,713.2","1,911.2",11.6
*내수,,,"1,569.9","1,585.5",,
*수출,,,113.9,127.7,,
매출원가,"1,119.2","1,187.4","1,199.8","1,285.7","1,390.7",8.2
매출총이익,330.6,567.5,484.1,427.6,520.5,21.7
판매비와관리비,240.1,292.6,272.1,302.4,341.2,12.8
영업이익,90.5,274.8,212.1,125.2,179.3,43.2
*기타영업손익,,,,,,
영업이익(발표기준),90.5,274.8,212.1,125.2,179.3,43.2
*[구K-IFRS]영업이익,,,,,,
금융수익,7.3,2.6,3.0,4.3,1.1,-75.3
금융원가,40.3,33.6,35.3,20.2,25.2,24.8
기타영업외손익,7.2,-11.4,-12.9,-8.9,-2.6,70.4
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,64.8,232.4,166.9,100.4,152.5,51.9
법인세비용,1.4,9.2,6.6,-1.1,3.5,436.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,63.4,223.2,160.3,101.5,149.0,46.8
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,63.4,223.2,160.3,101.5,149.0,46.8
기타포괄이익,-4.3,-2.9,-4.5,-7.6,-3.8,49.5
총포괄이익,59.1,220.3,155.7,93.9,145.1,54.6
*주당계속사업이익,153,524,373,232,337,45
*주당순이익,153,524,373,232,337,45
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,153,524,373,232,337,45
*(지배주주지분)주당순이익,153,524,373,232,337,45
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
