항목,"2017/12
(IFRS별도)",2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
매출액(수익),"8,883.9","10,106.8","9,101.6","2,717.7","2,471.9","5,613.8",-9.0,127.1
*내수,,,"9,101.6","2,717.7",,,,
*수출,,,,,,,,
매출원가,"7,340.2","8,645.1","8,766.8","4,175.0","3,922.9",,-6.0,
매출총이익,"1,543.7","1,461.7",334.8,"-1,457.3","-1,451.0",-98.5,0.4,93.2
판매비와관리비,574.6,831.9,823.0,389.8,401.5,,3.0,
영업이익,969.1,629.8,-488.3,"-1,847.1","-1,852.5",-915.5,-0.3,50.6
*기타영업손익,,,,,,,,
영업이익(발표기준),969.1,629.8,-488.3,"-1,847.1","-1,852.5",,-0.3,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,46.9,81.5,99.7,66.2,15.1,,-77.2,
금융원가,49.5,30.9,170.4,181.5,149.1,,-17.9,
기타영업외손익,-4.1,-65.5,-129.5,187.3,-223.9,,-219.5,
"종속기업,공동지배기업및관계기업관련손익",2.7,2.6,1.0,-4.3,-0.1,,96.8,
법인세비용차감전계속사업이익,965.2,617.5,-687.5,"-1,779.4","-2,210.5","-1,104.3",-24.2,50.0
법인세비용,224.3,172.8,-121.0,124.7,-874.7,,-801.7,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,740.8,444.7,-566.5,"-1,904.0","-1,335.8",,29.8,
중단사업이익,,,,,,,,
*중단사업법인세효과,,,,,,,,
당기순이익,740.8,444.7,-566.5,"-1,904.0","-1,335.8","-1,026.5",29.8,23.2
기타포괄이익,-14.6,-46.2,-18.2,-45.3,114.0,,351.4,
총포괄이익,726.3,398.5,-584.7,"-1,949.4","-1,221.9",,37.3,
*주당계속사업이익,"2,722","1,482","-1,895","-6,099","-2,985",,51,
*주당순이익,"2,722","1,482","-1,895","-6,099","-2,985",,51,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,"2,722","1,482","-1,895","-6,099","-2,985",,51,
*(지배주주지분)주당순이익,"2,722","1,482","-1,895","-6,099","-2,985","-1,966",51,34
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
