항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"30,804.5","29,352.4","29,237.9","28,394.1","31,324.9",10.3
*내수,"24,517.0","23,605.7","23,484.7",,,
*수출,"6,693.7","5,835.7","6,045.0",,,
매출원가,"29,249.7","27,813.8","27,634.8","26,966.6","29,861.8",10.7
매출총이익,"1,554.9","1,538.6","1,603.0","1,427.5","1,463.1",2.5
판매비와관리비,"1,215.1","1,176.6","1,082.7","1,022.4","1,008.9",-1.3
영업이익,339.8,362.0,520.4,405.2,454.2,12.1
*기타영업손익,,,,,,
영업이익(발표기준),339.8,362.0,520.4,405.2,454.2,12.1
*[구K-IFRS]영업이익,,,,,,
금융수익,34.6,80.9,73.1,43.4,222.5,412.4
금융원가,6.4,7.6,32.3,66.6,22.9,-65.7
기타영업외손익,-74.4,-61.6,-134.5,11.1,1.9,-82.8
"종속기업,공동지배기업및관계기업관련손익",,-26.3,-5.5,-5.3,-33.5,-531.5
법인세비용차감전계속사업이익,293.4,347.4,421.2,387.7,622.3,60.5
법인세비용,136.8,140.2,163.3,99.7,177.3,77.8
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,156.6,207.2,257.9,288.0,445.0,54.5
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,156.6,207.2,257.9,288.0,445.0,54.5
기타포괄이익,-8.9,-2.6,5.5,35.5,-24.7,-169.6
총포괄이익,147.7,204.6,263.4,323.5,420.3,29.9
*주당계속사업이익,221,357,483,672,"1,213",81
*주당순이익,221,357,483,672,"1,213",81
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,221,357,483,672,"1,213",81
*(지배주주지분)주당순이익,221,357,483,672,"1,213",81
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
