항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
순이자이익,137.3,195.9,178.3,282.6,275.7,-2.4
순수수료이익,166.0,292.9,616.7,993.6,"1,566.1",57.6
금융상품관련이익,135.5,51.8,263.2,602.6,"1,030.7",71.0
위험회피회계파생상품관련이익,,,,,,
외환거래(환율변동)손익,,,-0.1,-1.2,,
금융자산관련이익,,-14.0,-3.3,-1.5,-1.5,0.1
기타영업이익,22.0,15.0,36.4,31.3,66.0,111.0
순영업이익,460.8,541.5,"1,091.2","1,907.4","2,937.1",54.0
*(회사기재상)순영업이익,,,,,,
판매비와관리비,399.8,485.3,795.3,"1,264.9","1,774.7",40.3
영업이익,61.0,56.2,295.9,642.6,"1,162.4",80.9
영업외수익,10.3,13.3,10.9,30.4,15.6,-48.7
영업외비용,6.3,6.4,16.8,21.8,36.1,65.4
법인세비용차감전계속사업이익,65.0,63.0,290.0,651.2,"1,141.9",75.4
법인세비용,16.0,16.5,68.4,191.9,347.5,81.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,49.0,46.5,221.6,459.3,794.4,73.0
중단사업이익,,,,,,
*중단사업이익법인세효과,,,,,,
당기순이익,49.0,46.5,221.6,459.3,794.4,73.0
기타포괄이익,3.9,9.3,60.2,150.7,104.0,-31.0
총포괄이익,53.0,55.9,281.8,610.0,898.4,47.3
*주당계속사업이익,370,355,"1,726","3,583","6,206",73
*주당순이익,370,355,"1,726","3,583","6,206",73
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,370,355,"1,726","3,583","6,206",73
*(지배주주지분)주당순이익,370,355,"1,726","3,583","6,206",73
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
