항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"1,561.9",829.2,"1,471.2","1,249.4",807.1,-35.4
*내수,,,220.5,51.2,,
*수출,,,"1,250.6","1,198.2",,
매출원가,"1,423.5",851.2,"1,187.2","1,063.1",730.6,-31.3
매출총이익,138.4,-22.1,284.0,186.4,76.4,-59.0
판매비와관리비,71.0,75.4,86.1,90.5,226.1,149.7
영업이익,67.4,-97.4,197.8,95.8,-149.7,-256.2
*기타영업손익,,,,,,
영업이익(발표기준),67.4,-97.4,197.8,95.8,-149.7,-256.2
*[구K-IFRS]영업이익,,,,,,
금융수익,2.9,11.4,13.7,5.7,14.4,153.6
금융원가,58.4,48.5,56.0,40.7,23.2,-43.0
기타영업외손익,-89.3,23.0,-73.2,-39.4,16.0,140.6
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,-77.4,-111.6,82.3,21.4,-142.5,-765.0
법인세비용,-6.8,0.2,15.1,1.4,-1.3,-192.3
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-70.6,-111.8,67.2,20.0,-141.2,-806.4
중단사업이익,,-50.9,-35.4,-6.6,11.0,266.8
*중단사업법인세효과,,,-9.7,,,
당기순이익,-70.6,-162.7,31.8,13.4,-130.2,"-1,071.2"
기타포괄이익,24.5,-0.7,-19.0,13.2,1.8,-86.2
총포괄이익,-46.1,-163.4,12.8,26.6,-128.3,-581.9
*주당계속사업이익,-80,-91,51,9,-61,-778
*주당순이익,-80,-132,24,6,-57,"-1,050"
*희석주당계속사업이익,-78,,,8,-53,-763
*희석주당순이익,-78,,,5,-49,"-1,080"
*(지배주주지분)주당계속사업이익,-80,-91,51,9,-61,-778
*(지배주주지분)주당순이익,-80,-132,24,6,-57,"-1,050"
*(지배주주지분)희석주당계속사업이익,-78,,,8,-53,-763
*(지배주주지분)희석주당순이익,-78,,,5,-49,"-1,080"
