항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"3,228.0","2,868.7","2,700.9","2,661.5","2,515.3",-5.5
*내수,"2,870.7",,"2,245.7","2,265.1",,
*수출,357.3,,455.2,396.4,,
매출원가,"2,681.2","2,451.5","2,306.0","2,214.7","2,090.0",-5.6
매출총이익,546.8,417.2,395.0,446.7,425.3,-4.8
판매비와관리비,479.6,409.6,477.5,383.1,483.2,26.1
영업이익,67.1,7.7,-82.5,63.6,-57.9,-191.0
*기타영업손익,,,,,,
영업이익(발표기준),67.1,7.7,-82.5,63.6,-57.9,-191.0
*[구K-IFRS]영업이익,,,,,,
금융수익,25.1,8.6,13.1,9.3,9.6,3.2
금융원가,49.2,46.4,48.6,43.7,47.0,7.5
기타영업외손익,-26.4,-3.8,-96.8,-0.8,-3.9,-371.2
"종속기업,공동지배기업및관계기업관련손익",5.4,0.6,-1.1,0.2,0.7,213.1
법인세비용차감전계속사업이익,22.1,-33.2,-215.9,28.6,-98.5,-444.0
법인세비용,-3.8,-6.9,-42.2,6.0,-23.4,-492.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,25.9,-26.3,-173.7,22.7,-75.1,-431.4
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,25.9,-26.3,-173.7,22.7,-75.1,-431.4
기타포괄이익,-0.7,-13.1,118.4,-9.0,29.4,427.4
총포괄이익,25.2,-39.4,-55.4,13.7,-45.7,-434.0
*주당계속사업이익,510,-504,"-3,065",400,"-1,329",-432
*주당순이익,510,-504,"-3,065",400,"-1,329",-432
*희석주당계속사업이익,488,,,,,
*희석주당순이익,488,,,,,
*(지배주주지분)주당계속사업이익,510,-504,"-3,065",400,"-1,329",-432
*(지배주주지분)주당순이익,510,-504,"-3,065",400,"-1,329",-432
*(지배주주지분)희석주당계속사업이익,488,,,,,
*(지배주주지분)희석주당순이익,488,,,,,
