항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,전년대비
매출액(수익),"3,131.6","3,163.0","3,237.3","2,775.8","4,062.9",46.4
*내수,"1,429.4",,"1,127.3","1,067.2",,
*수출,"1,702.2",,"2,110.0","1,708.6",,
매출원가,"2,818.8","2,908.1","2,935.3","2,458.9","3,564.2",45.0
매출총이익,312.8,254.9,302.0,316.9,498.7,57.4
판매비와관리비,176.8,128.9,127.2,129.7,144.2,11.2
영업이익,136.0,126.0,174.8,187.2,354.5,89.4
*기타영업손익,,,,,,
영업이익(발표기준),136.0,126.0,174.8,187.2,354.5,89.4
*[구K-IFRS]영업이익,,,,,,
금융수익,15.6,24.7,16.5,16.7,13.8,-17.7
금융원가,1.1,2.3,3.0,2.0,1.9,-2.8
기타영업외손익,-9.4,-11.4,48.8,18.7,49.8,165.5
"종속기업,공동지배기업및관계기업관련손익",21.3,,6.7,13.6,27.8,105.1
법인세비용차감전계속사업이익,162.3,137.0,243.8,234.2,443.9,89.5
법인세비용,37.6,42.5,66.5,37.4,112.5,200.5
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,124.7,94.4,177.3,196.8,331.4,68.4
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,124.7,94.4,177.3,196.8,331.4,68.4
기타포괄이익,9.6,0.4,-31.0,37.3,-51.1,-236.8
총포괄이익,134.4,94.8,146.2,234.1,280.3,19.7
*주당계속사업이익,"7,310","5,807","11,366","12,962","21,903",69
*주당순이익,"7,310","5,807","11,366","12,962","21,903",69
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"7,310","5,807","11,366","12,962","21,903",69
*(지배주주지분)주당순이익,"7,310","5,807","11,366","12,962","21,903",69
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
