항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"1,336.2","1,220.8","1,453.3","1,653.8","2,508.3",51.7
*내수,435.7,377.6,278.4,253.9,,
*수출,900.6,843.2,"1,174.8","1,399.8",,
매출원가,"1,093.8","1,039.3","1,204.8","1,426.5","2,059.7",44.4
매출총이익,242.5,181.6,248.5,227.3,448.6,97.4
판매비와관리비,76.9,96.8,73.2,80.1,99.8,24.5
영업이익,165.6,84.8,175.3,147.1,348.9,137.1
*기타영업손익,,,,,,
영업이익(발표기준),165.6,84.8,175.3,147.1,348.9,137.1
*[구K-IFRS]영업이익,,,,,,
금융수익,15.8,22.9,24.6,24.0,32.1,33.6
금융원가,14.7,1.4,2.0,14.2,1.7,-88.1
기타영업외손익,10.5,-17.0,49.7,62.0,214.9,246.8
"종속기업,공동지배기업및관계기업관련손익",,,31.3,37.7,61.5,63.1
법인세비용차감전계속사업이익,177.2,89.3,278.8,256.6,655.7,155.5
법인세비용,36.7,17.4,74.1,57.0,148.1,159.8
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,140.6,71.9,204.8,199.6,507.5,154.3
중단사업이익,,,29.8,,,
*중단사업법인세효과,,,0.1,,,
당기순이익,140.6,71.9,234.6,199.6,507.5,154.3
기타포괄이익,-0.1,-5.3,-8.0,-0.5,3.9,826.3
총포괄이익,140.5,66.5,226.6,199.1,511.5,156.9
*주당계속사업이익,"1,371",715,"2,199","2,166","5,524",155
*주당순이익,"1,371",715,"2,385","2,166","5,524",155
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"1,371",715,"2,199","2,166","5,524",155
*(지배주주지분)주당순이익,"1,371",715,"2,385","2,166","5,524",155
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
