항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"6,944.7","2,088.1","2,107.8","1,731.4","1,880.8",8.6
*내수,,,"2,107.8","1,731.4",,
*수출,,,,,,
매출원가,"2,294.7",922.3,868.5,803.8,815.0,1.4
매출총이익,"4,650.1","1,165.8","1,239.3",927.6,"1,065.7",14.9
판매비와관리비,"4,446.3","1,177.5","1,195.0",996.9,"1,012.3",1.6
영업이익,203.8,-11.7,44.3,-69.3,53.4,177.1
*기타영업손익,,,,,,
영업이익(발표기준),,-11.7,44.3,-69.3,53.4,177.1
*[구K-IFRS]영업이익,,,,,,
금융수익,40.4,14.2,25.6,19.6,6.9,-64.6
금융원가,29.9,40.7,46.5,36.6,29.5,-19.6
기타영업외손익,-30.5,-19.7,159.5,-4.4,35.1,894.9
"종속기업,공동지배기업및관계기업관련손익",-2.7,33.4,-973.5,-212.5,-296.9,-39.7
법인세비용차감전계속사업이익,181.0,-24.5,-790.6,-303.2,-231.0,23.8
법인세비용,171.1,119.9,-16.6,4.7,-34.8,-840.8
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,9.9,-144.3,-774.0,-307.9,-196.2,36.3
중단사업이익,,-432.1,,,,
*중단사업법인세효과,,112.7,,,,
당기순이익,9.9,-576.5,-774.0,-307.9,-196.2,36.3
기타포괄이익,-167.1,-30.8,16.6,12.1,-37.8,-412.7
총포괄이익,-157.1,-607.3,-757.4,-295.8,-234.0,20.9
*주당계속사업이익,-48,-692,"-3,711","-1,476",-941,36
*주당순이익,-48,"-2,544","-3,711","-1,476",-941,36
*희석주당계속사업이익,-53,,,,,
*희석주당순이익,-53,,,,,
*(지배주주지분)주당계속사업이익,-48,-692,"-3,711","-1,476",-941,36
*(지배주주지분)주당순이익,-48,"-2,544","-3,711","-1,476",-941,36
*(지배주주지분)희석주당계속사업이익,-53,,,,,
*(지배주주지분)희석주당순이익,-53,,,,,
