항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"8,160.3","7,820.9","7,354.3","6,219.3","5,903.9",-5.1
*내수,,"5,240.6","4,879.2","4,122.9",,
*수출,,"2,580.3","2,475.1","2,096.4",,
매출원가,"7,067.8","6,889.9","6,789.3","5,671.2","5,092.7",-10.2
매출총이익,"1,092.5",931.0,565.0,548.1,811.2,48.0
판매비와관리비,501.3,388.0,382.6,328.9,318.8,-3.1
영업이익,591.2,543.0,182.4,219.2,492.4,124.7
*기타영업손익,,,,,,
영업이익(발표기준),591.2,543.0,182.4,219.2,492.4,124.7
*[구K-IFRS]영업이익,,,,,,
금융수익,67.3,42.5,55.3,44.4,71.2,60.4
금융원가,166.5,150.2,152.8,162.1,103.4,-36.2
기타영업외손익,-44.2,-3.3,-163.0,-64.0,14.7,123.0
"종속기업,공동지배기업및관계기업관련손익",294.0,130.6,-84.3,170.7,227.7,33.4
법인세비용차감전계속사업이익,741.9,562.6,-162.5,208.3,702.6,237.3
법인세비용,200.6,150.6,-18.0,86.9,149.4,71.8
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,541.3,412.0,-144.5,121.3,553.3,356.0
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,541.3,412.0,-144.5,121.3,553.3,356.0
기타포괄이익,47.6,12.3,-21.9,-5.2,54.9,"1,158.4"
총포괄이익,588.9,424.3,-166.4,116.1,608.1,423.6
*주당계속사업이익,"8,847","7,202","-2,585","1,496","9,031",504
*주당순이익,"8,847","7,202","-2,585","1,496","9,031",504
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"8,847","7,202","-2,585","1,496","9,031",504
*(지배주주지분)주당순이익,"8,847","7,202","-2,585","1,496","9,031",504
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
