항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"1,510.6","1,464.9","1,547.2","1,602.3","1,974.7",23.2
*내수,593.1,602.4,598.8,533.4,,
*수출,917.6,862.5,948.4,"1,068.9",,
매출원가,"1,221.0","1,270.6","1,271.8","1,304.3","1,697.5",30.1
매출총이익,289.6,194.3,275.5,298.1,277.3,-7.0
판매비와관리비,154.0,107.8,120.6,136.6,149.5,9.5
영업이익,135.7,86.4,154.8,161.5,127.7,-20.9
*기타영업손익,,,,,,
영업이익(발표기준),135.7,86.4,154.8,161.5,127.7,-20.9
*[구K-IFRS]영업이익,,,,,,
금융수익,53.0,13.0,14.8,17.5,19.5,11.4
금융원가,17.0,5.1,8.5,22.1,6.4,-71.2
기타영업외손익,-0.4,1.1,3.0,2.2,4.9,128.7
"종속기업,공동지배기업및관계기업관련손익",,,,0.2,-0.1,-169.8
법인세비용차감전계속사업이익,171.2,95.5,164.1,159.3,145.6,-8.6
법인세비용,35.4,21.7,29.0,21.5,32.1,49.3
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,135.8,73.7,135.1,137.8,113.5,-17.6
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,135.8,73.7,135.1,137.8,113.5,-17.6
기타포괄이익,-29.4,-6.3,-7.2,1.2,4.2,261.6
총포괄이익,106.4,67.4,127.8,138.9,117.7,-15.3
*주당계속사업이익,"6,265","3,675","6,719","6,806","5,571",-18
*주당순이익,"6,265","3,675","6,719","6,806","5,571",-18
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"6,265","3,675","6,719","6,806","5,571",-18
*(지배주주지분)주당순이익,"6,265","3,675","6,719","6,806","5,571",-18
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
