항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),"3,188.5","3,391.2","3,800.9","4,476.3","5,076.3","5,639.7",13.4,11.1
*내수,,,,,,,,
*수출,,,,,,,,
매출원가,"2,498.0","2,644.7","2,839.7","3,451.1","3,972.9",,15.1,
매출총이익,690.5,746.5,961.2,"1,025.1","1,103.4","1,224.7",7.6,11.0
판매비와관리비,486.4,543.6,567.6,614.8,693.8,,12.8,
영업이익,204.1,202.9,393.5,410.3,409.6,471.7,-0.2,15.2
*기타영업손익,,,,,,,,
영업이익(발표기준),204.1,202.9,393.5,410.3,409.6,,-0.2,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,1.5,3.7,4.1,4.6,6.4,,38.3,
금융원가,7.7,8.3,8.0,10.0,6.6,,-33.8,
기타영업외손익,-7.3,-47.3,-19.7,-13.9,-16.8,,-20.8,
"종속기업,공동지배기업및관계기업관련손익",-105.0,,,,,,,
법인세비용차감전계속사업이익,85.6,151.0,369.8,390.9,392.5,442.0,0.4,12.6
법인세비용,49.9,36.4,74.6,152.5,94.0,,-38.4,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,35.7,114.6,295.2,238.4,298.5,,25.2,
중단사업이익,,,,,,,,
*중단사업법인세효과,,,,,,,,
당기순이익,35.7,114.6,295.2,238.4,298.5,340.7,25.2,14.1
기타포괄이익,,-10.6,-21.5,-2.4,4.2,,276.4,
총포괄이익,,104.0,273.7,236.0,302.7,,28.3,
*주당계속사업이익,"177,101","2,641","1,411","1,107","1,195",,8,
*주당순이익,"177,101","2,641","1,411","1,107","1,195",,8,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,"177,101","2,641","1,411","1,107","1,195",,8,
*(지배주주지분)주당순이익,"177,101","2,641","1,411","1,107","1,195","1,357",8,14
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
