항목,"2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),"5,119.9","9,461.9","9,742.9","12,718.5","14,360.0",30.5,12.9
*내수,,"9,424.6","9,712.9",,,,
*수출,,37.3,29.9,,,,
매출원가,"3,926.4","7,749.7","7,207.5","9,821.9",,36.3,
매출총이익,"1,193.5","1,712.2","2,535.4","2,896.7","3,662.0",14.3,26.4
판매비와관리비,632.3,"1,122.7","1,207.4","1,692.7",,40.2,
영업이익,561.2,589.5,"1,328.0","1,204.0","1,853.0",-9.3,53.9
*기타영업손익,,,,,,,
영업이익(발표기준),561.2,589.5,"1,328.0","1,204.0",,-9.3,
*[구K-IFRS]영업이익,,,,,,,
금융수익,14.6,27.5,138.6,141.4,,2.1,
금융원가,32.6,75.2,130.9,171.7,,31.2,
기타영업외손익,157.7,2.7,72.3,35.6,,-50.8,
"종속기업,공동지배기업및관계기업관련손익",,,,,,,
법인세비용차감전계속사업이익,701.0,544.4,"1,407.9","1,209.3","1,870.0",-14.1,54.6
법인세비용,163.7,139.4,408.1,349.1,,-14.4,
종속회사매수일전순손익,,,,,,,
처분된종속회사순손익,,,,,,,
계속사업이익,537.3,405.0,999.8,860.2,,-14.0,
중단사업이익,,,,,,,
*중단사업법인세효과,,,,,,,
당기순이익,537.3,405.0,999.8,860.2,"1,403.0",-14.0,63.1
기타포괄이익,-10.9,7.6,113.4,116.4,,2.7,
총포괄이익,526.3,412.7,"1,113.2",976.5,,-12.3,
*주당계속사업이익,"12,967","9,772","1,832","1,179",,-36,
*주당순이익,"12,967","9,772","1,832","1,179",,-36,
*희석주당계속사업이익,,,,,,,
*희석주당순이익,,,,,,,
*(지배주주지분)주당계속사업이익,"12,967","9,772","1,832","1,179",,-36,
*(지배주주지분)주당순이익,"12,967","9,772","1,832","1,179","1,883",-36,60
*(지배주주지분)희석주당계속사업이익,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,
