항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"3,782.2","3,971.3","3,488.7","2,144.6","1,746.1",-18.6
*내수,"2,779.4",,"2,569.4","1,390.3",,
*수출,"1,002.8",,919.4,754.3,,
매출원가,"3,467.8","3,644.7","3,237.8","1,934.9","1,517.4",-21.6
매출총이익,314.4,326.6,250.9,209.6,228.7,9.1
판매비와관리비,156.4,154.9,153.7,101.8,88.7,-12.9
영업이익,158.0,171.7,97.3,107.8,140.0,29.9
*기타영업손익,,,,,,
영업이익(발표기준),158.0,171.7,97.3,107.8,140.0,29.9
*[구K-IFRS]영업이익,,,,,,
금융수익,35.0,19.1,26.6,21.5,23.9,11.3
금융원가,58.0,51.5,47.3,44.0,22.3,-49.4
기타영업외손익,21.6,-5.1,-125.5,9.9,3.6,-63.3
"종속기업,공동지배기업및관계기업관련손익",92.5,40.1,-9.3,12.9,-13.5,-204.4
법인세비용차감전계속사업이익,249.0,174.3,-58.3,108.1,131.8,21.9
법인세비용,55.4,48.1,-1.8,29.7,33.4,12.4
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,193.6,126.2,-56.4,78.4,98.4,25.5
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,193.6,126.2,-56.4,78.4,98.4,25.5
기타포괄이익,60.3,-7.0,-85.6,-12.6,93.2,837.2
총포괄이익,253.9,119.2,-142.0,65.8,191.7,191.4
*주당계속사업이익,"1,124",733,-328,455,572,26
*주당순이익,"1,124",733,-328,455,572,26
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"1,124",733,-328,455,572,26
*(지배주주지분)주당순이익,"1,124",733,-328,455,572,26
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
