항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),580.2,626.3,534.3,759.5,991.8,30.6
*내수,467.1,,437.9,709.8,,
*수출,113.1,,96.4,49.7,,
매출원가,462.3,516.5,455.7,678.8,861.5,26.9
매출총이익,117.9,109.8,78.6,80.7,130.3,61.5
판매비와관리비,88.1,88.6,88.5,90.7,119.5,31.8
영업이익,29.8,21.2,-9.9,-10.0,10.8,208.2
*기타영업손익,,,,,,
영업이익(발표기준),,21.2,-9.9,-10.0,10.8,208.2
*[구K-IFRS]영업이익,,,,,,
금융수익,0.3,0.7,1.3,0.5,0.7,43.6
금융원가,4.8,6.8,8.8,7.8,9.5,20.7
기타영업외손익,-6.3,-5.5,-0.6,-13.2,-3.7,72.0
"종속기업,공동지배기업및관계기업관련손익",,-0.9,-6.4,-1.0,3.2,413.0
법인세비용차감전계속사업이익,19.1,8.8,-24.5,-31.5,1.5,104.9
법인세비용,-10.0,-2.8,0.3,4.8,1.9,-59.3
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,29.1,11.5,-24.8,-36.3,-0.4,98.9
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,29.1,11.5,-24.8,-36.3,-0.4,98.9
기타포괄이익,-1.9,1.9,1.1,16.0,0.8,-95.0
총포괄이익,27.2,13.5,-23.7,-20.2,0.4,102.0
*주당계속사업이익,61,24,-52,-76,-1,99
*주당순이익,61,24,-52,-76,-1,99
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,61,24,-52,-76,-1,99
*(지배주주지분)주당순이익,61,24,-52,-76,-1,99
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
