항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
매출액(수익),"3,334.4","3,662.9","3,754.4","3,675.7","3,919.5","4,367.0",6.6,11.4
*내수,"3,246.4",,"3,670.1","3,610.6",,,,
*수출,88.0,,84.3,65.1,,,,
매출원가,"2,580.6","2,947.4","2,964.4","2,770.2","3,071.5",,10.9,
매출총이익,753.8,715.5,790.0,905.5,847.9,980.0,-6.4,15.6
판매비와관리비,327.2,365.4,374.2,382.8,386.5,,0.9,
영업이익,426.5,350.1,415.8,522.7,461.5,601.0,-11.7,30.2
*기타영업손익,,,,,,,,
영업이익(발표기준),426.5,350.1,415.8,522.7,461.5,,-11.7,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,2.2,2.4,1.6,8.5,13.6,,60.5,
금융원가,80.9,72.8,81.3,76.6,64.9,,-15.3,
기타영업외손익,13.4,-4.9,24.2,-69.6,-31.0,,55.4,
"종속기업,공동지배기업및관계기업관련손익",,,,,,,,
법인세비용차감전계속사업이익,361.3,274.8,360.4,385.0,379.2,600.0,-1.5,58.2
법인세비용,81.9,60.6,76.5,62.0,76.1,,22.8,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,279.4,214.2,283.9,323.0,303.0,,-6.2,
중단사업이익,,,,,,,,
*중단사업법인세효과,,,,,,,,
당기순이익,279.4,214.2,283.9,323.0,303.0,451.0,-6.2,48.8
기타포괄이익,-1.9,-17.6,-4.9,-1.2,-25.9,,"-2,092.3",
총포괄이익,277.5,196.6,278.9,321.8,277.1,,-13.9,
*주당계속사업이익,"1,966","1,507","1,998","2,273","2,132",,-6,
*주당순이익,"1,966","1,507","1,998","2,273","2,132",,-6,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,"1,966","1,507","1,998","2,273","2,132",,-6,
*(지배주주지분)주당순이익,"1,966","1,507","1,998","2,273","2,132","2,893",-6,36
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
