항목,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
매출액(수익),"4,334.1","12,271.8","11,504.7","14,973.6","18,327.0",30.1,22.4
*내수,,"7,020.3","6,204.4",,,,
*수출,,"5,251.6","5,300.3",,,,
매출원가,"4,007.0","11,166.4","10,260.2","12,911.7",,25.8,
매출총이익,327.1,"1,105.4","1,244.4","2,061.9","2,609.7",65.7,26.6
판매비와관리비,215.1,646.3,708.8,742.5,,4.8,
영업이익,112.0,459.1,535.6,"1,319.5","1,711.3",146.3,29.7
*기타영업손익,,,,,,,
영업이익(발표기준),112.0,459.1,535.6,"1,319.5",,146.3,
*[구K-IFRS]영업이익,,,,,,,
금융수익,38.1,136.4,186.3,162.0,,-13.1,
금융원가,58.4,169.4,260.3,175.2,,-32.7,
기타영업외손익,4.3,7.5,18.6,-54.6,,-392.7,
"종속기업,공동지배기업및관계기업관련손익",,,-3.6,-4.0,,-11.7,
법인세비용차감전계속사업이익,96.0,433.6,476.7,"1,247.6","1,657.3",161.7,32.8
법인세비용,25.7,185.1,146.1,333.6,,128.4,
종속회사매수일전순손익,,,,,,,
처분된종속회사순손익,,,,,,,
계속사업이익,70.3,248.5,330.6,914.0,,176.5,
중단사업이익,,,,,,,
*중단사업법인세효과,,,,,,,
당기순이익,70.3,248.5,330.6,914.0,"1,231.3",176.5,34.7
기타포괄이익,23.2,-22.6,-8.4,-0.5,,93.5,
총포괄이익,93.5,225.9,322.2,913.4,,183.5,
*주당계속사업이익,"2,481","8,768","11,713","32,640",,179,
*주당순이익,"2,481","8,768","11,713","32,640",,179,
*희석주당계속사업이익,,,,,,,
*희석주당순이익,,,,,,,
*(지배주주지분)주당계속사업이익,"2,481","8,768","11,713","32,640",,179,
*(지배주주지분)주당순이익,"2,481","8,768","11,713","32,640","43,413",179,33
*(지배주주지분)희석주당계속사업이익,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,
