항목,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),"17,674.9","30,536.2","23,946.2","35,977.8","39,863.2",50.2,10.8
*내수,,"30,536.2","23,946.2",,,,
*수출,,,,,,,
매출원가,"15,847.1","26,966.2","21,859.6","29,618.1",,35.5,
매출총이익,"1,827.7","3,569.9","2,086.6","6,359.7","6,521.8",204.8,2.5
판매비와관리비,"1,186.3","1,986.7","1,744.5","1,986.6",,13.9,
영업이익,641.4,"1,583.3",342.1,"4,373.1","4,230.3","1,178.4",-3.3
*기타영업손익,,,,,,,
영업이익(발표기준),641.4,"1,583.3",342.1,"4,373.1",,"1,178.4",
*[구K-IFRS]영업이익,,,,,,,
금융수익,214.2,379.9,477.3,352.7,,-26.1,
금융원가,800.6,"1,109.6",827.5,675.3,,-18.4,
기타영업외손익,-109.4,-330.8,19.2,67.5,,252.3,
"종속기업,공동지배기업및관계기업관련손익",,,,,,,
법인세비용차감전계속사업이익,-54.4,522.7,11.0,"4,118.0","3,966.2","37,166.9",-3.7
법인세비용,183.0,"1,051.8",-57.1,817.8,,"1,533.3",
종속회사매수일전순손익,,,,,,,
처분된종속회사순손익,,,,,,,
계속사업이익,-237.4,-529.1,68.1,"3,300.2",,"4,745.9",
중단사업이익,,,,,,,
*중단사업법인세효과,,,,,,,
당기순이익,-237.4,-529.1,68.1,"3,300.2","3,066.5","4,745.9",-7.1
기타포괄이익,24.8,99.8,-129.4,485.2,,475.0,
총포괄이익,-212.7,-429.2,-61.3,"3,785.5",,"6,275.1",
*주당계속사업이익,"-5,919","-15,664",18,"56,109",,"311,617",
*주당순이익,"-5,919","-15,664",18,"56,109",,"311,617",
*희석주당계속사업이익,,,,,,,
*희석주당순이익,,,,,,,
*(지배주주지분)주당계속사업이익,"-5,919","-15,664",18,"56,109",,"311,617",
*(지배주주지분)주당순이익,"-5,919","-15,664",18,"56,109","54,294","311,617",-3
*(지배주주지분)희석주당계속사업이익,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,
