항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12
매출액(수익),"1,417.3","2,127.0","2,779.5","3,562.1","4,357.3"
*내수,,,"2,779.5","3,562.1",
*수출,,,,,
매출원가,"1,266.5","1,885.7","2,490.8","3,168.4","3,713.6"
매출총이익,150.8,241.3,288.7,393.7,643.7
판매비와관리비,48.1,96.3,123.9,120.3,135.5
영업이익,102.7,145.0,164.7,273.4,508.2
*기타영업손익,,,,,
영업이익(발표기준),102.7,145.0,164.7,273.4,508.2
*[구K-IFRS]영업이익,,,,,
금융수익,4.1,8.1,15.1,20.7,30.1
금융원가,,15.7,21.0,19.3,51.4
기타영업외손익,1.6,-0.4,1.6,-3.0,-1.4
"종속기업,공동지배기업및관계기업관련손익",,,,,
법인세비용차감전계속사업이익,108.4,137.1,160.5,271.9,485.6
법인세비용,24.3,29.9,36.2,62.8,120.2
종속회사매수일전순손익,,,,,
처분된종속회사순손익,,,,,
계속사업이익,84.1,107.2,124.3,209.1,365.4
중단사업이익,,,,,
*중단사업법인세효과,,,,,
당기순이익,84.1,107.2,124.3,209.1,365.4
기타포괄이익,,-6.5,-5.8,-8.2,-3.4
총포괄이익,,100.6,118.6,200.9,361.9
*주당계속사업이익,"3,783",964,677,781,"1,052"
*주당순이익,"3,783",964,677,781,"1,052"
*희석주당계속사업이익,,,,,
*희석주당순이익,,,,,
*(지배주주지분)주당계속사업이익,"3,783",964,677,781,"1,052"
*(지배주주지분)주당순이익,"3,783",964,677,781,"1,052"
*(지배주주지분)희석주당계속사업이익,,,,,
*(지배주주지분)희석주당순이익,,,,,
