항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
매출액(수익),"11,669.7","10,797.5","10,308.3","9,489.3","9,560.8",0.8
*내수,"11,122.9","10,200.3","9,643.8","8,928.5",,
*수출,546.8,597.1,664.5,560.7,,
매출원가,"8,662.8","8,105.0","7,836.1","7,784.9","8,054.9",3.5
매출총이익,"3,006.9","2,692.5","2,472.2","1,704.3","1,506.0",-11.6
판매비와관리비,"2,956.1","2,606.6","2,468.0","2,471.7","2,284.5",-7.6
영업이익,50.8,85.9,4.2,-767.3,-778.5,-1.5
*기타영업손익,,,,,,
영업이익(발표기준),50.8,85.9,4.2,-767.3,-778.5,-1.5
*[구K-IFRS]영업이익,,,,,,
금융수익,34.0,38.8,41.6,20.0,14.7,-26.6
금융원가,,,9.8,8.6,6.9,-20.6
기타영업외손익,15.0,-47.2,353.6,71.6,34.4,-51.9
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,99.9,77.4,389.5,-684.4,-736.3,-7.6
법인세비용,49.7,57.3,97.2,-156.9,-147.4,6.0
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,50.2,20.2,292.3,-527.5,-588.9,-11.6
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,50.2,20.2,292.3,-527.5,-588.9,-11.6
기타포괄이익,15.2,-47.7,-49.6,38.7,-5.2,-113.4
총포괄이익,65.4,-27.6,242.7,-488.8,-594.1,-21.5
*주당계속사업이익,"5,922","2,371","34,527","-62,337","-69,590",-12
*주당순이익,"5,922","2,371","34,527","-62,337","-69,590",-12
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,"5,922","2,371","34,527","-62,337","-69,590",-12
*(지배주주지분)주당순이익,"5,922","2,371","34,527","-62,337","-69,590",-12
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
